사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
Jun-22,2호선,208,왕십리(성동구청),889,4,7485,1122,10270,6544,26173,13292,44143,26873,28225,17820,19014,14898,19498,15562,21535,17664,23334,18836,22888,18991,26030,20453,31400,24907,34367,33507,36565,53353,23417,33031,22269,20364,25263,18032,26933,17912,14472,13557,1710,3846,0,71,0,1,0,0
Jun-22,2호선,209,한양대,10,1,1331,366,2351,5990,5196,12157,8069,50589,6073,45679,7235,34618,12584,15837,16128,28361,16933,23484,19358,17440,23668,11380,30557,9919,38505,11563,31953,14047,16556,7641,13013,5387,13905,5138,11331,4877,6041,3746,924,826,0,10,0,0,0,0
Jun-22,2호선,210,뚝섬,15,1,3308,2002,8295,14534,18310,37689,24568,131769,17577,88480,14036,42015,17223,31067,19254,31803,22038,34307,27876,28486,31236,29874,42161,30679,64645,35615,124311,41531,59294,25318,39902,13533,36655,11866,26816,10543,10712,7620,1178,1865,3,65,0,0,0,0
Jun-22,2호선,211,성수,45,1,5694,4114,9338,29686,23166,74526,30866,256344,22201,141300,20595,56316,22035,45910,26367,47620,32790,51730,37179,47714,46195,46878,60011,48564,112004,53171,222998,62484,98499,38108,65735,18950,64161,15216,49361,14387,19602,11744,2436,5093,4,832,0,0,0,0
Jun-22,2호선,212,건대입구,477,25,17838,2061,21689,18349,51926,25351,88946,60039,59414,50700,36227,41057,35441,45597,41397,52906,45778,59070,46267,58542,51098,62838,60822,76169,69782,102590,81855,145945,61696,102537,63123,61925,71136,56278,74747,51360,43848,31671,5869,9006,8,678,0,0,0,0
Jun-22,2호선,213,구의(광진구청),56,2,13029,1221,26342,13449,66165,14731,109900,37343,64884,23448,34764,19097,29432,19391,29995,22197,29159,24212,27151,26193,27156,33242,32276,39045,34481,52846,41157,88525,21505,65430,17179,41146,16457,40559,14830,38214,7470,23568,932,5680,1,32,0,0,0,0
Jun-22,2호선,214,강변(동서울터미널),30,2,8373,2394,27379,23709,76751,27542,111007,47337,78950,40935,64278,37250,55877,35506,53064,40312,48816,44126,45436,47902,49129,55587,52723,62741,59256,76994,64728,105772,45490,75504,35872,51889,29095,45224,20431,43013,7783,24291,664,4999,0,13,0,0,0,0
Jun-22,2호선,215,잠실나루,7,0,3239,1885,11814,10270,37453,22165,44185,37409,28168,23672,22841,18233,22548,16054,21457,18945,20180,20919,21269,18956,23453,18392,28292,19992,33808,25614,29068,37466,14177,27672,10848,17407,8352,17446,6296,16732,2850,9987,262,2053,0,32,0,0,0,0
Jun-22,2호선,216,잠실(송파구청),111,12,11524,5179,48014,34236,111626,72762,154459,160573,112938,143283,79218,104314,77375,109164,84383,105716,91933,107462,98824,107070,115921,112673,137039,126747,174991,158763,216971,213917,140720,140712,147381,90397,129419,85112,91407,81630,29450,47258,3066,7153,2,84,1,0,0,0
Jun-22,2호선,217,잠실새내,34,0,5182,908,16660,8903,52930,16376,71787,27343,44609,28916,30845,23573,29294,24578,30896,28309,30704,32421,28328,34568,31700,39645,34311,44863,36621,56950,38822,79583,28162,55520,26060,32969,26935,29898,28348,28258,15657,16616,1845,3891,0,81,0,0,0,0
Jun-22,2호선,218,종합운동장,19,3,1852,951,5672,9063,15760,18046,21460,28042,15014,14411,11564,11783,11055,10797,11208,15753,10598,19886,10753,26058,14201,41712,17447,70438,17829,54399,20711,51551,19854,20068,49189,10809,60529,11242,70532,11197,8598,6150,282,1522,1,58,0,0,0,0
Jun-22,2호선,219,삼성(무역센터),172,0,4661,4969,7174,40185,13649,129653,19288,323820,19866,231082,22580,108463,33798,80150,43041,74332,56682,81901,71890,68947,91571,58431,118246,53727,205483,56713,290208,60514,150091,34189,111861,17343,98692,14679,68338,12094,19881,7012,2465,4867,0,910,0,0,0,0
Jun-22,2호선,220,선릉,126,1,4876,6024,10917,39145,20134,109061,31816,276287,29694,211240,33863,102872,44289,62241,53683,55978,62086,63598,69550,52001,88922,46202,113669,44774,178789,52116,283862,56650,138660,33407,88569,20512,86648,17487,75143,17414,28111,10937,3709,3539,2,68,0,0,0,0
Jun-22,2호선,221,역삼,32,0,4342,6889,8419,38605,14518,138583,24710,341386,22122,295278,23317,121710,32063,67548,38706,57158,47755,62011,55410,50278,73338,44717,95609,43262,197318,49123,274727,57151,144822,34283,84413,20536,80109,16757,59777,14805,22742,9700,3222,2294,2,21,0,0,0,0
Jun-22,2호선,222,강남,231,8,11812,10667,19128,49306,37334,147542,61796,305615,49452,306893,48697,144675,64729,104013,80181,101665,95697,116290,106394,100877,131625,96733,154526,103352,231839,130234,314775,176913,196425,105348,155347,55982,180108,46747,176473,40499,81016,26765,12407,5773,2,35,0,0,0,0
Jun-22,2호선,223,교대(법원.검찰청),31,1,2704,6687,12304,25438,25311,55637,34601,150151,28907,135456,27834,66777,33612,58230,36285,51596,44697,54299,52203,48694,56175,46004,60601,49087,94306,62102,135546,74611,63525,42325,53108,24388,57607,21871,49479,20758,18823,13520,2754,2557,4,4,0,0,0,0
Jun-22,2호선,224,서초,24,0,1501,4639,8243,20018,16180,47698,25514,111132,26420,88981,20831,39203,27067,31047,24685,22844,32360,25809,32948,22748,38747,19726,45703,21180,66535,23712,93408,25606,40757,16963,28012,10335,29533,9793,19306,9926,7085,5793,864,1171,0,4,0,1,0,0
Jun-22,2호선,225,방배,1,0,2766,2803,9271,10717,22706,27162,31589,71405,24668,48736,18983,27074,20404,23519,22231,23761,24252,24213,25664,23915,28372,23642,33910,25057,42360,30580,65294,37445,28440,26502,21704,16708,21713,15915,17755,16771,7092,10027,1178,2252,0,18,0,0,0,0
Jun-22,2호선,226,사당,123,7,12419,4438,26750,32554,73196,46005,101683,65641,74143,51432,47657,43114,43633,53613,49360,53979,52046,50706,56324,50027,57878,60605,61768,80645,73294,116608,90127,165434,63200,110335,61045,65908,68088,62948,65424,62175,33926,44450,4581,10190,4,117,0,0,0,0
Jun-22,2호선,227,낙성대(강감찬),36,5,11340,2293,26650,10662,79200,19930,122564,37552,77415,31529,43107,26268,36846,23691,39110,26504,39455,27892,35771,30495,34885,35300,41135,42149,44318,56340,48301,95961,28006,82315,22058,51696,20772,51494,16515,53039,7587,33360,1038,6792,2,225,0,0,0,0
Jun-22,2호선,228,서울대입구(관악구청),3670,17,27726,2649,43206,14882,122060,30608,172422,63854,114287,61113,66392,51029,59090,45903,64285,49881,68880,54883,60253,55639,63862,63780,70878,74229,78442,99908,84579,167538,52856,135373,45556,81008,46504,78324,41865,79575,19172,49242,2546,17400,1,2766,0,0,0,0
Jun-22,2호선,229,봉천,65,2,15638,1413,27905,7115,77694,12404,118721,27170,70561,20150,39420,18253,32838,20850,35049,23024,33534,25293,28711,26671,28583,34780,31846,39810,30691,51399,31573,82033,19233,68394,15591,42320,13823,41099,10669,40127,3951,24893,579,6340,3,192,0,0,0,0
