사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
Jun-22,3호선,325,옥수,218,21,3045,832,9807,4668,22910,8876,29607,13961,20212,10484,15098,8476,13753,10137,13231,11236,13883,12639,13502,13409,14005,15813,15488,18881,16664,23849,17127,32385,10894,23381,9279,15234,8481,14292,5958,14425,2451,8174,8,172,0,0,0,0,0,0
Jun-22,3호선,326,압구정,82,5,3351,1984,8238,23838,14931,48069,24609,145400,19354,146449,24222,76128,30964,61478,36111,51112,40597,54622,49121,49471,57878,43908,69846,48014,89347,54377,137972,59738,90104,33973,73070,16636,56293,12533,44998,10926,11212,6551,18,2173,0,0,0,0,0,0
Jun-22,3호선,327,신사,93,7,4316,1756,6514,18024,10696,43631,16193,100038,14268,132600,17548,67376,23162,49135,27978,47244,32391,48649,39301,44962,47740,41848,57517,44493,83539,51442,122679,64935,84700,34917,58443,16502,64242,12705,56759,10423,21443,7458,30,275,0,0,0,0,0,0
Jun-22,3호선,328,잠원,4,0,1106,833,4483,5888,11129,6569,15233,10575,10367,6674,7565,4651,7375,4935,7586,5283,7032,6939,6454,6432,7530,6856,9606,7499,11065,9952,9160,12890,5667,9777,4138,6153,4676,6405,3064,7135,1023,4044,1,63,0,0,1,1,0,0
Jun-22,3호선,329,고속터미널,87,1,5134,4041,6895,34622,24270,48203,40544,72548,49250,91672,51819,92347,64760,99824,75299,94326,84018,94493,94655,98352,105914,100774,117529,99168,133892,103154,130635,111137,110004,70425,121281,44440,80293,33624,50989,25040,18510,13322,834,968,0,4,0,0,0,0
Jun-22,3호선,330,교대(법원.검찰청),59,0,1281,727,3728,6421,8716,19681,12771,45699,10421,34555,11134,15835,14070,11557,16043,10794,19848,10920,23154,10075,24063,9555,26528,10423,42008,14440,63425,18966,26595,10105,23237,5206,25354,4318,24108,4231,7336,2795,18,101,0,0,0,0,0,0
Jun-22,3호선,331,남부터미널(예술의전당),64,1,3008,1469,9064,27172,28516,60278,40805,150640,34534,80150,32876,47388,37039,35064,38296,36727,40161,41099,40888,41333,44460,41844,57881,45765,93113,49627,132004,59638,57069,38962,41680,23389,39650,18472,30157,13789,8115,9938,7,480,0,2,0,0,0,0
Jun-22,3호선,332,양재(서초구청),77,2,5669,2570,14297,43516,34009,106035,43152,225244,31745,114938,29612,55629,32967,46588,36152,42134,41536,46311,45978,38726,53434,40762,69052,44477,117508,61689,186062,74809,81372,47837,60602,30051,58501,27197,39169,23689,11877,13868,32,1499,0,0,1,0,0,0
Jun-22,3호선,333,매봉,7,3,1531,587,7250,9584,16416,22406,20436,70823,13915,33067,11950,16241,12142,14553,12971,12493,14242,12513,15901,11452,18254,12645,21547,13594,36435,18294,61614,23505,19752,15679,14571,9685,16426,8195,10847,8194,3101,4757,15,601,0,0,0,0,0,0
Jun-22,3호선,334,도곡,34,3,1119,354,3522,4971,9017,13629,11083,19039,7139,14127,6167,7679,6482,7114,6716,6413,6840,6797,6944,6593,9409,6550,12735,7227,16146,8390,16474,10844,8543,8328,6203,4993,5284,4809,4510,4609,1028,2972,13,1954,0,0,0,0,0,0
Jun-22,3호선,335,대치,12,0,2821,820,11490,8573,23501,19227,24470,26450,14993,17187,12629,13523,12600,12240,14526,15230,14687,18129,14511,16973,16942,18410,19720,26587,27110,26964,26869,27663,16908,21201,13275,11845,15609,11090,28056,10635,2917,6672,0,83,1,1,0,0,0,0
Jun-22,3호선,336,학여울,2,0,568,188,1745,1857,4097,3445,4359,7668,3110,5524,2680,5201,3020,3743,3693,3886,4127,4254,4108,4241,5107,3845,5944,3771,6706,3906,6866,4369,2819,3636,2187,2196,1823,2014,1128,1821,237,1229,0,13,0,0,0,0,0,0
Jun-22,3호선,337,대청,60,1,3955,1143,11193,6203,26721,17217,33349,25830,18477,11986,15280,8782,13597,7887,13258,9781,13531,10770,12826,11016,15121,13977,22824,15346,22935,18874,25305,26244,10656,21573,8049,14578,6481,13546,4901,14842,1536,8479,4,260,0,0,1,0,0,0
Jun-22,3호선,338,일원,11,1,2329,1483,8774,10799,22537,31315,23340,24934,15786,18128,16237,16099,17047,11438,16828,13651,14665,15465,15622,14542,20662,13346,29256,12400,34350,14130,17863,19356,9846,15913,6386,10321,4533,10311,3616,11001,1197,5333,1,180,0,0,0,0,0,0
Jun-22,3호선,339,수서,219,15,4835,2619,11907,16677,33030,35726,42818,53034,29024,31503,29352,22743,23832,18845,29419,23599,26610,22015,21848,22889,31850,26160,37365,30118,42671,35801,49552,48783,22574,34957,22502,24767,15509,21430,15825,20798,5105,9063,15,1078,0,0,0,0,0,0
Jun-22,3호선,340,가락시장,42,12,2734,478,7244,5907,19433,12123,21635,29141,15327,14615,13407,10404,13462,10449,13161,11231,12741,11623,12926,11960,13480,13339,15567,15518,20014,17891,27641,22841,11746,16337,9255,11046,7990,9609,5557,8948,1605,5082,59,1601,5,42,0,0,0,0
Jun-22,3호선,341,경찰병원,24,0,2778,269,6931,3199,22061,8812,25024,26257,14369,13363,11070,8218,10035,6506,8987,7447,9261,9081,8833,8291,9854,8736,9624,9700,14950,14538,18617,20604,6549,15461,5579,10233,4920,8167,3460,8410,766,4219,5,1288,0,0,0,0,0,0
Jun-22,3호선,342,오금,24,2,4101,6,7700,2424,25594,5709,28287,13029,14596,5571,8744,5085,7890,4239,7863,5342,7712,5933,6367,5881,6498,7653,7904,9578,10427,12263,11416,19637,4482,14889,3440,9198,3032,8915,2326,9756,486,5466,2,1761,3,2,0,0,0,0
Jun-22,4호선,409,당고개,43,1,8463,43,14931,5007,38869,5546,34603,10244,21170,9626,14760,9729,13856,9419,13871,9793,13154,10253,12572,10732,12127,12661,12521,15276,12914,18465,11456,24289,7661,24283,5410,15653,4252,13573,3094,13607,927,10691,6,1301,0,0,0,0,0,0
Jun-22,4호선,410,상계,42,2,14166,267,36425,7725,85756,19730,70855,20853,41401,17429,30611,14952,27310,16010,28485,19433,25875,19854,22329,21808,23568,25723,27440,33051,25957,41743,23488,60144,15577,58190,11491,35655,10610,31162,11680,29784,2746,21289,7,916,0,0,0,0,0,0
Jun-22,4호선,411,노원,272,2,12147,543,24116,7779,51224,13661,53683,29935,32601,30583,25742,23364,25144,23015,28983,27417,27149,29577,26356,28958,27105,32785,31183,40312,32119,53105,31944,77704,23685,63029,25316,36651,23258,32026,21481,27497,8195,20072,73,3414,0,0,0,1,0,0
Jun-22,4호선,412,창동,1913,22,16816,3025,39280,13495,87577,19975,78221,38357,48983,30913,39440,28226,37537,28485,39867,32867,36952,38557,34204,42520,36877,45928,43434,51994,45151,62744,45486,90171,26013,77123,20511,46321,18436,40233,14690,37120,6458,24697,364,4977,0,2,0,0,0,0
Jun-22,4호선,413,쌍문,318,18,23708,1164,52197,8730,121179,15208,122427,27486,73717,20186,51149,19666,43733,21293,42417,24752,38929,27196,33793,29775,32372,38597,35768,50856,35170,65201,32700,97111,20947,93603,16079,59115,12846,50833,9844,48462,3797,33088,13,1122,0,0,0,0,0,0
Jun-22,4호선,414,수유(강북구청),64,6,21534,3126,47543,11878,113622,21257,116562,55348,74069,40184,53478,30972,49296,32139,50967,34306,48313,38680,45910,42162,45520,49280,49930,65090,54259,79326,59928,118637,34608,105378,27679,65670,24701,57727,19985,53516,9168,36599,6,447,0,0,0,0,0,0
Jun-22,4호선,415,미아(서울사이버대학),48,7,11003,1621,21226,5658,47129,17866,49049,31417,32248,19262,23802,15365,21621,16891,22904,15913,21871,17549,20611,18620,21337,23547,25372,26526,25032,32043,26877,43875,15915,37022,11686,23180,9224,21304,8436,18719,2430,13007,0,75,0,0,0,0,0,0
Jun-22,4호선,416,미아사거리,61,3,15626,2262,38116,7960,94577,19325,94615,33723,59275,32806,42118,27901,39570,28372,39729,32328,38738,32752,37390,36171,40022,45704,46075,54561,42070,66056,41837,95566,30003,76051,29609,45850,17559,42855,14024,37768,5696,22706,8,75,0,0,0,0,0,0
Jun-22,4호선,417,길음,10,1,10442,2247,32550,7519,87394,13563,81870,30907,47358,22693,33074,20168,29074,20941,30433,23180,28376,26470,25962,27423,27519,29402,32168,38528,32938,49959,30854,72544,17746,61326,14413,36926,11532,34385,11537,34446,3463,21165,5,89,0,0,0,0,0,0
Jun-22,4호선,418,성신여대입구(돈암),27,0,5862,1821,18438,7045,46092,16910,49058,34652,33853,26675,27045,22711,27219,25021,30975,26418,31047,28543,30717,30168,32896,30087,37961,36476,41683,46546,45015,64465,28852,49846,26141,31605,27962,28267,25569,26767,10319,18157,8,38,0,0,0,0,0,0
Jun-22,4호선,419,한성대입구(삼선교),80,11,6909,994,13086,6680,30415,17669,35314,28055,24384,24454,18789,18337,18847,18056,21242,18415,21611,19454,21520,18717,23007,20348,31071,23327,30255,28437,29818,34565,17792,30048,15422,18498,14283,17594,10779,16761,4426,12067,7,7345,0,0,0,0,0,0
Jun-22,4호선,420,혜화,27,2,3944,2513,7775,23291,17772,49218,19689,108028,23254,78925,28949,58989,34414,55680,37580,67532,40957,80649,50153,71794,67114,57183,81192,56254,99986,62377,109346,69424,63638,50400,64987,19860,82117,18235,81941,15830,25508,11350,7,429,0,0,0,0,0,0
Jun-22,4호선,421,동대문,178,18,4740,2583,3245,15547,5380,37033,7366,72136,12312,65792,17978,58350,24909,52256,31544,43423,37129,40931,44665,37976,51812,31548,62152,23850,84191,17895,61170,14675,31003,14632,21725,10198,23284,6735,13763,4636,4956,5013,10,169,0,0,0,0,0,0
Jun-22,4호선,422,동대문역사문화공원(DDP),298,1,5682,1487,3891,13025,6810,25370,8215,62421,8820,36429,9698,26348,13914,24659,17332,23423,20135,23319,24800,22299,30273,18788,35158,16850,52880,17030,69783,19773,37155,21086,27818,11623,26517,9027,21285,6829,9050,5852,566,1127,0,0,0,0,0,0
Jun-22,4호선,423,충무로,105,3,3533,3187,4693,22227,8674,52579,13693,156197,14503,95628,15770,51374,21691,42692,25859,40722,31302,39107,36520,33849,41979,30214,51176,30615,84286,36815,135547,40187,63103,23011,46000,12429,45022,11502,38548,9842,18004,8110,21,800,0,1,0,0,0,0
Jun-22,4호선,424,명동,14,1,1069,953,2894,18814,4870,45187,7753,98329,10670,65225,13504,43395,20800,41750,25682,44517,29948,39988,35094,34656,44176,34180,54818,30518,67864,31681,104041,30027,49847,18520,41970,11076,36448,9079,23470,7166,6218,4649,5,373,0,0,0,0,0,0
Jun-22,4호선,425,회현(남대문시장),16,0,1605,785,3118,21495,4661,51452,7873,122963,9522,92127,14414,79096,26347,69399,36025,57011,46025,48975,56389,43710,64177,35377,77531,25708,94922,20077,114376,17698,44626,10059,41796,5481,20783,5569,12907,4327,4407,2626,5,392,0,1,0,0,0,0
Jun-22,4호선,426,서울역,213,1,4361,847,5933,15844,11739,37087,15113,76781,12283,49079,10669,25916,12596,23695,13422,28190,13176,27696,13803,26038,15079,28032,18700,30074,42776,34741,56810,35079,20148,26266,13671,18719,13187,17110,10184,15597,4243,8618,14,2142,0,0,0,0,0,0
Jun-22,4호선,427,숙대입구(갈월),12,3,2619,923,8028,7708,18081,22703,24816,46839,18155,28431,15469,18629,16840,17690,18850,18183,18850,18299,19763,17836,22271,18118,29482,20837,35508,27493,46370,34985,22173,23082,19508,14302,20061,12849,18735,12492,7754,7673,0,5,0,1,0,0,0,0
Jun-22,4호선,428,삼각지,4,0,711,516,2275,7144,6872,11587,10282,19162,6314,12151,4913,9365,5310,9720,6547,10407,7782,10316,7822,8811,8031,8973,11178,10261,14658,13987,19208,18782,9666,11884,8722,6591,10287,5426,9654,5379,4920,4010,18,305,3,3,0,0,0,0
Jun-22,4호선,429,신용산,13,2,1404,1002,4188,11545,11710,34933,16579,86476,13190,66557,12507,32144,16427,24837,17456,26913,20890,26761,21813,24981,27259,25323,34975,26825,59180,31295,89337,37785,41334,22398,31347,12306,31475,9987,23829,7791,9942,4140,3,11,0,0,0,0,0,0
Jun-22,4호선,430,이촌(국립중앙박물관),31,2,1259,849,5143,7241,12691,13626,15977,27206,11499,23916,9427,20464,11733,18930,15490,19103,15651,21656,17751,19531,22175,18111,28819,16895,30540,16379,29336,20434,12053,14556,9934,8916,9537,8012,5496,7527,1773,4512,3,14,0,1,0,0,0,0
Jun-22,4호선,431,동작(현충원),9,0,356,256,661,2040,1850,3149,2647,5908,2531,5326,2537,4371,3803,3247,3508,3073,3076,3256,3103,3031,3646,2947,3623,2753,4883,3315,5493,4125,2582,2957,2779,2413,2628,1289,1905,936,711,1072,8,223,0,0,0,0,0,0
Jun-22,4호선,432,총신대입구(이수),99,1,6444,856,16443,9086,47005,18493,57635,42591,37169,31078,28697,24553,27662,24797,28616,26811,30255,28453,27141,29803,28171,34982,29905,40646,33830,52680,39931,74874,24573,47884,23370,27684,19936,24337,17665,21904,7151,14153,26,464,0,0,0,0,0,0
Jun-22,4호선,433,사당,163,57,10477,1533,25522,17879,67281,23733,87082,33767,66410,28360,42916,23385,35926,30318,37386,31458,37152,27827,36270,27697,35820,32126,37408,42499,43406,62329,47514,90420,32312,58248,31003,32715,34303,30847,30949,30087,12008,22227,398,4649,7,10,0,0,0,0
Jun-22,4호선,434,남태령,47,0,486,117,1037,1364,2155,3722,3589,5036,2934,2768,2303,1421,2116,1323,2233,1323,1889,1272,1875,1380,2069,1513,3050,1678,4629,1720,3918,2066,1812,1947,1145,1311,722,987,385,802,127,478,2,81,0,0,0,0,0,0
Jun-22,경부선,1001,서울역,6,4,40,464,99,3179,10098,5221,19791,5724,15096,4875,14495,3851,17561,2206,14508,3448,14887,3352,11017,3059,17931,3605,16193,3900,17176,6246,19427,8312,17049,4495,11012,3172,16207,2655,12043,2474,5296,542,37,30,0,0,0,0,0,0
Jun-22,경부선,1002,남영,97,3,2770,1443,4715,6385,11780,19838,17785,51254,11374,25834,9410,13471,9825,11753,10817,11538,10699,11680,11504,10700,14308,11167,20387,12843,24042,16173,41223,22187,15799,14421,12988,9216,13326,8422,11703,7763,4613,5607,39,421,0,0,0,0,0,0
Jun-22,경부선,1003,용산,446,5,3983,5104,5356,35595,20696,76055,32872,152832,35862,112051,32585,80032,49059,66513,45236,69996,56616,73743,53632,69698,84801,70761,94655,69344,122954,71893,154399,78662,92873,55497,92187,34760,89008,26230,62120,13210,23366,7351,185,1300,0,0,0,0,0,0
Jun-22,경부선,1004,노량진,449,8,5128,1722,7500,5181,16609,9809,23521,14855,12741,11181,10109,8241,10188,9685,11543,10828,12271,10825,12010,9836,12373,11615,14156,14912,16872,21485,18181,32743,12456,19595,12889,11927,14374,11318,13401,10004,4574,6702,96,664,0,2,0,0,0,0
Jun-22,경부선,1005,대방,486,10,5857,2243,10771,9115,26718,31716,35076,46460,19733,21267,15049,12169,13941,10817,15686,12602,14704,13996,14539,12552,15782,13797,16540,16667,26683,23286,38745,33526,14162,22488,11219,14796,10011,15569,7702,14147,2135,9617,62,1290,0,2,0,0,0,0
Jun-22,경부선,1006,영등포,4308,63,16891,7500,17785,23391,40237,58679,55924,122341,39648,91271,36655,72761,42386,81611,50284,80578,55421,86521,63720,75512,78227,74449,93751,75215,109482,88599,151395,110871,86541,68983,91843,38098,74334,30635,60537,24731,21609,16515,388,2901,0,4,0,0,0,0
Jun-22,경부선,1007,신도림,586,7,2694,717,4179,3410,9918,7207,11434,15245,6606,7347,4907,5666,4681,4932,5059,5020,5082,5346,4859,5125,5321,6091,6391,6920,9256,9837,14470,13925,5947,8293,5423,4803,5565,4597,4147,4027,1530,2878,47,1077,0,2,0,0,0,0
Jun-22,경부선,1032,신길,624,4,10267,1759,10888,6831,23590,18948,31015,29342,16991,10945,11254,6679,9840,6586,12406,7701,10055,7815,9209,7678,10467,9272,13508,11522,19283,15746,28595,21802,11474,15203,8169,10429,6739,11757,4869,10305,1896,6927,74,1243,0,2,0,0,0,0
Jun-22,경부선,1701,구로,11784,48,23203,5081,19267,13841,38272,31965,37929,73254,26737,40757,20254,26969,20873,21866,22161,21555,22752,22516,22596,21875,26153,24318,31996,28921,48970,38033,62727,43613,25136,30633,20011,20136,18195,19329,12707,18049,4756,18667,21,11844,2,8,0,0,0,0
Jun-22,경부선,1702,가산디지털단지,1869,11,7673,3241,7695,13005,14623,54122,15649,155205,11677,72116,10303,22258,11340,16155,13345,15173,13825,16340,14209,15201,16690,14966,24953,18722,67104,24908,109651,27925,45060,20482,26403,13014,22103,12336,15848,11341,5627,5988,186,913,0,0,0,0,0,0
Jun-22,경부선,1703,금천구청,668,3,11990,1438,18701,5858,46101,17203,42540,28722,25467,12431,18630,9395,16351,9788,16260,12003,14765,14126,12811,12722,13989,18003,15229,20088,17173,28628,25485,44942,11152,33058,8780,17880,7122,18334,5006,15128,1300,8439,31,612,0,0,0,0,0,0
Jun-22,경부선,1704,석수,458,4,8416,2597,16213,6491,37671,12635,36056,16699,20828,11210,14898,9160,12938,6862,12430,7486,11614,8707,10732,8992,12692,11099,14131,13302,17355,20188,16961,32180,9792,24713,6765,14354,5210,15680,3875,13299,1084,7082,32,541,0,0,0,0,0,0
Jun-22,경부선,1705,관악,167,0,7622,1768,13014,4503,32197,6420,30243,11684,15317,10686,11465,9968,10106,7692,10816,8455,10363,7604,10025,8053,10301,9438,12546,11458,12697,16179,11378,28716,6851,20633,5096,12566,4965,11875,2816,10648,882,6462,18,446,0,0,0,0,0,0
Jun-22,경부선,1706,안양,347,4,15628,3211,33512,11664,84645,21160,75127,42751,42802,43222,31685,31792,31775,33273,36976,33583,34788,37522,35434,31778,40755,37225,47541,42699,49152,56460,39251,85286,24827,65269,23752,36779,24242,31274,20121,26244,7514,18447,74,1482,0,0,0,0,0,0
Jun-22,경부선,1707,명학,163,2,7014,1957,10567,7308,25928,24700,22900,54917,11647,15619,9483,8695,9272,8883,10355,7272,10155,8546,9904,8662,10684,7751,14927,9677,25219,12298,37942,20365,12164,17392,11715,10032,7267,9032,5157,8771,1688,6332,19,375,0,0,0,0,0,0
Jun-22,경부선,1708,금정,472,6,23578,6500,37466,21171,86553,41708,88304,87508,52604,32014,37304,21588,32462,22880,34017,24320,32118,26248,28442,27654,30505,35088,38391,41683,58834,60957,73046,88518,32432,72238,25933,41521,22351,43787,17386,37003,6836,28351,99,3896,0,0,0,0,0,0
Jun-22,경부선,1709,군포,76,0,5410,2107,9132,8835,18869,30205,17820,42991,10307,8082,8092,4481,7299,4758,7576,5135,6981,5712,6597,5513,6857,6931,9485,7968,22146,10594,34251,16297,11440,11509,9098,7734,5527,6922,3557,6306,1156,3892,18,184,0,0,0,0,0,0
Jun-22,경부선,1710,의왕,107,0,6657,2374,13004,9791,28716,27761,29014,28280,14172,10245,11015,7312,10347,7104,10945,8236,10199,9610,10245,8506,11406,10217,15416,13091,25399,16702,24171,27569,11514,18703,8148,14529,6560,11943,4587,10509,1580,7682,15,345,0,0,0,0,0,0
Jun-22,경부선,1711,성균관대,162,4,8808,2050,27155,7295,65071,9649,53528,21135,27099,14995,20455,12704,19006,12480,19769,14041,18077,16716,16480,15967,17647,19205,21313,23961,24434,36976,22446,57566,13867,46182,11815,29614,10962,26593,9575,22553,4064,16069,61,1139,0,0,0,0,0,0
Jun-22,경부선,1712,화서,491,48,8220,2343,22434,5106,42478,5960,33312,10749,15696,5976,12034,6236,10749,6612,9962,6826,9201,8135,8035,8553,8748,10047,11706,12866,11593,20023,10173,35290,5841,28339,4791,17251,4313,13061,3299,12715,1084,7648,17,1415,0,0,0,0,0,0
Jun-22,경부선,1713,수원,1886,47,19731,6704,36173,32324,70551,51127,65778,76135,46611,66516,41483,66897,47935,64619,51290,75115,53451,70226,56821,68624,69178,69264,87024,79817,88473,90137,92688,118811,73771,87123,78142,52414,61563,41006,56108,34668,20433,21427,324,6685,1,0,0,0,0,0
Jun-22,경부선,1714,독산,732,4,8001,2282,18147,13227,45748,45589,43298,104309,23288,49666,17905,16124,16672,12211,18723,13455,17491,14436,16214,12546,18341,16827,25686,19392,59320,26703,75939,42998,33765,34584,19936,20200,12983,21055,8389,18931,2355,9136,60,669,0,0,0,0,0,0
Jun-22,경부선,1715,세류,494,1,3671,873,7388,2290,15185,4231,9595,4426,5335,2788,4312,2598,4096,2911,3841,2964,3741,3234,3243,3373,3777,4023,4552,5149,6392,6893,5511,11238,3610,8896,2793,5732,2398,5604,1476,4457,524,2483,15,931,0,0,0,0,0,0
Jun-22,경부선,1716,병점,3344,25,8211,3486,26482,11438,54434,21323,42034,29036,27862,16928,24077,13669,23300,15751,24002,17186,20626,17351,19899,18739,22621,22734,26685,27780,31788,37664,32756,48464,18367,41114,14247,30286,12674,24930,9318,23573,2715,16522,31,6928,0,0,0,0,0,0
Jun-22,경부선,1717,세마,351,0,2225,773,5531,1575,10008,4222,8922,9254,6067,3009,4431,1976,3734,2539,3963,2496,4040,3119,3607,3229,3795,3104,5058,5641,6399,7242,7752,7881,3147,7488,2312,4964,1961,4742,1095,3849,484,2529,46,177,0,0,0,0,0,0
Jun-22,경부선,1718,오산대,357,5,3250,1347,6834,2540,12409,4298,10092,10600,6248,4466,5085,5151,4781,4778,5182,4066,5941,4676,5459,4247,6663,3981,8714,5861,8193,8113,8900,11787,4346,9114,3253,5767,3018,5431,1939,3723,1062,2915,90,235,0,0,0,0,0,0
Jun-22,경부선,1719,오산,622,2,7222,1989,15593,9491,24999,27803,24450,21666,18157,13007,16945,11028,15911,10431,16306,12436,14554,13509,14679,13336,15612,17001,20545,20467,25595,24103,27681,29656,15018,23296,12859,18351,9034,14575,5264,10107,2468,8028,125,678,0,0,0,0,0,0
Jun-22,경부선,1720,진위,17,0,942,263,1637,2650,3049,8132,2724,9052,1957,2803,1516,1876,1725,1200,1849,1108,1597,1153,1680,1173,3191,1469,3965,1678,7556,2038,9512,2448,2999,2398,2268,1500,1155,1485,525,1216,271,950,9,49,0,0,0,0,0,0
Jun-22,경부선,1721,송탄,68,0,5268,998,8243,3500,13374,6623,11669,8579,9053,4014,7686,3809,7623,4206,7187,5501,7296,5342,6246,5761,7022,6843,9047,8442,9701,11005,10275,12748,5794,13438,4627,9165,3996,8420,2205,7941,1137,6605,30,704,0,0,0,0,0,0
Jun-22,경부선,1722,서정리,127,3,3781,4275,10821,8382,15967,14190,15057,18517,12004,8886,10805,7193,10800,7060,11834,9929,10852,9862,11317,8527,12203,10272,15979,14846,25750,16898,19421,15468,11931,17179,9699,11817,7409,9906,3548,9699,1631,7865,40,838,0,0,0,0,0,0
Jun-22,경부선,1723,평택지제,15,0,2007,7066,3938,10659,9777,13353,7984,7298,5278,4198,4551,2760,4160,3505,5335,3685,3867,3554,4814,3864,6637,4366,7774,5342,12724,6310,10747,8312,9234,6620,4841,5360,5105,5050,3941,4112,1425,2873,3,304,0,0,0,0,0,0
Jun-22,경부선,1724,평택,291,1,7931,2988,14936,9066,28591,15999,27138,25410,23909,21521,21917,16838,20292,21854,21262,21968,21437,22054,21033,24190,23880,25027,27868,29231,31883,36243,28640,37592,20611,26506,21760,19584,15439,16865,12134,13363,6243,8568,32,2240,0,0,0,0,0,0
Jun-22,경부선,1725,성환,70,0,2105,600,3991,2653,6965,11338,6703,14664,6381,12540,6619,8100,7552,5399,8350,7523,8901,8247,10788,5229,12201,5708,11861,6306,14295,8082,11772,8195,5242,6431,4854,5263,2739,5213,1757,4101,660,3543,54,930,0,0,0,0,0,0
Jun-22,경부선,1726,직산,63,6,591,271,1400,1024,1902,2980,1992,3419,1354,1159,1220,963,1180,935,1278,1013,1142,1051,1006,959,1429,982,1327,1304,3236,1719,3317,1670,1273,1728,847,1188,698,1116,296,812,162,902,26,172,0,0,0,0,0,0
Jun-22,경부선,1727,두정,1466,6,5459,960,9734,2928,15159,9441,13627,15674,11002,14742,9396,12354,10322,10722,11393,12314,11212,11070,11246,10166,12383,8583,14330,11645,15515,13793,15705,21190,9310,14078,7408,11193,6713,8338,4583,7605,2284,7525,25,2177,0,0,0,0,0,0
Jun-22,경부선,1728,천안,1798,4,3308,829,5574,3274,11121,6442,9984,13887,12567,13703,10226,11738,11878,13788,11487,12868,12674,12585,14144,11208,16573,13171,17879,12588,16857,16435,14060,17017,9848,11767,8272,8958,6101,6142,3541,4648,1783,4054,12,1801,0,0,0,0,0,0
Jun-22,경부선,1729,당정,31,1,3794,1036,10889,3227,25837,8947,22974,16727,11974,8530,8969,5576,8582,5235,9571,6742,8499,6169,7757,6371,9060,7208,9764,8951,12767,12746,14506,20266,5789,17097,4935,11596,4079,10114,3451,9628,1090,6974,18,275,0,0,0,0,0,0
Jun-22,경부선,1749,서동탄,0,0,1237,10,4596,809,10145,1701,3790,1525,2666,845,1806,710,1816,1369,1520,1108,1387,1112,1377,1397,1718,1894,1775,2125,1863,2900,2560,4412,1000,5707,843,2526,607,1905,517,2501,56,1637,4,1177,0,0,0,0,0,0
Jun-22,경부선,1750,광명,0,0,16,1273,2991,2949,12053,6654,10214,7100,6332,6227,3861,4044,6810,2598,4999,7592,4377,137,3892,7873,8648,3829,3358,4826,8667,6423,10043,11863,8586,6939,6031,3403,3789,5635,2512,2836,954,48,0,0,0,0,0,0,0,0
Jun-22,경인선,1801,개봉,1427,7,18087,5460,37606,12273,89385,14827,85448,22834,51220,18462,36528,15656,32585,18983,32218,23187,29662,23647,25412,26953,25027,33364,28421,42965,30365,56398,28933,82551,17571,64392,13665,39644,11658,38006,8720,31963,3257,17755,25,1292,0,1,0,0,0,0
Jun-22,경인선,1802,오류동,677,4,12357,1970,19081,5336,51090,6521,49303,11625,28321,10238,19985,9454,17912,10238,19614,11904,17323,13498,15032,13980,14558,17474,15607,21076,15422,27429,14364,41399,8661,36429,6957,21469,6115,20355,4232,17590,1545,11182,17,770,0,0,0,0,0,0
Jun-22,경인선,1803,역곡,1081,10,30290,3565,45603,11155,116524,14337,115142,33534,62096,32923,41869,22943,37694,25294,38052,29507,39147,29457,32338,32701,33067,35307,35750,52640,38633,68761,36057,109627,22602,91824,18596,51990,16377,48882,14133,42005,5853,28948,31,684,0,0,0,0,0,0
Jun-22,경인선,1804,부천,2937,16,37908,5456,43735,14112,104181,18046,103021,45372,62008,41568,45497,37950,45967,40362,48166,48110,47556,51356,46105,50601,49844,51651,56207,62488,56987,84197,55749,119626,36922,97944,31580,55543,30296,50352,26115,41740,11889,30086,41,1342,0,0,0,0,0,0
Jun-22,경인선,1805,송내,1798,7,16748,8879,38552,17585,107846,29955,87744,78094,50262,40589,37183,23447,36185,23847,36459,24975,32966,27261,29823,27824,32595,30772,37994,40446,46473,57745,73895,90736,29270,80479,22483,45744,20035,41756,15924,38978,7047,24731,66,990,0,0,0,0,0,0
Jun-22,경인선,1806,부평,8145,48,23133,5623,37745,13134,82425,19450,77403,33604,45558,37593,37762,34757,38395,41620,42838,47273,42731,52716,41932,52886,46755,53832,53817,67630,58816,83986,53787,117496,40689,96362,38664,54242,39929,45916,33224,38103,18261,25971,1237,4778,0,1,0,0,0,0
