네이버 데이터랩 쇼핑인사이트 > 분야 통계
조회분야
도서 > 컴퓨터/IT
조회기간 : 2021.07.09. ~ 2022.07.09. 일간
기기별 : 전체
성별 : 남성
연령별 : 10대

"날짜","컴퓨터/IT"
"2021-07-09",17
"2021-07-10",18
"2021-07-11",10
"2021-07-12",17
"2021-07-13",16
"2021-07-14",24
"2021-07-15",100
"2021-07-16",76
"2021-07-17",52
"2021-07-18",58
"2021-07-19",44
"2021-07-20",40
"2021-07-21",40
"2021-07-22",51
"2021-07-23",35
"2021-07-24",35
"2021-07-25",17
"2021-07-26",41
"2021-07-27",23
"2021-07-28",20
"2021-07-29",17
"2021-07-30",9
"2021-07-31",16
"2021-08-01",8
"2021-08-02",10
"2021-08-03",12
"2021-08-04",11
"2021-08-05",9
"2021-08-06",8
"2021-08-07",7
"2021-08-08",30
"2021-08-09",8
"2021-08-10",18
"2021-08-11",11
"2021-08-12",21
"2021-08-13",11
"2021-08-14",12
"2021-08-15",17
"2021-08-16",10
"2021-08-17",18
"2021-08-18",24
"2021-08-19",12
"2021-08-20",21
"2021-08-21",6
"2021-08-22",10
"2021-08-23",10
"2021-08-24",6
"2021-08-25",22
"2021-08-26",21
"2021-08-27",20
"2021-08-28",8
"2021-08-29",23
"2021-08-30",31
"2021-08-31",27
"2021-09-01",32
"2021-09-02",28
"2021-09-03",38
"2021-09-04",19
"2021-09-05",27
"2021-09-06",22
"2021-09-07",27
"2021-09-08",45
"2021-09-09",33
"2021-09-10",14
"2021-09-11",14
"2021-09-12",41
"2021-09-13",26
"2021-09-14",20
"2021-09-15",14
"2021-09-16",15
"2021-09-17",24
"2021-09-18",17
"2021-09-19",19
"2021-09-20",18
"2021-09-21",6
"2021-09-22",13
"2021-09-23",27
"2021-09-24",26
"2021-09-25",12
"2021-09-26",23
"2021-09-27",18
"2021-09-28",32
"2021-09-29",22
"2021-09-30",53
"2021-10-01",27
"2021-10-02",23
"2021-10-03",16
"2021-10-04",22
"2021-10-05",27
"2021-10-06",43
"2021-10-07",21
"2021-10-08",10
"2021-10-09",5
"2021-10-10",12
"2021-10-11",21
"2021-10-12",14
"2021-10-13",23
"2021-10-14",37
"2021-10-15",15
"2021-10-16",11
"2021-10-17",18
"2021-10-18",14
"2021-10-19",30
"2021-10-20",21
"2021-10-21",14
"2021-10-22",18
"2021-10-23",17
"2021-10-24",21
"2021-10-25",17
"2021-10-26",34
"2021-10-27",38
"2021-10-28",31
"2021-10-29",12
"2021-10-30",21
"2021-10-31",38
"2021-11-01",46
"2021-11-02",33
"2021-11-03",16
"2021-11-04",33
"2021-11-05",30
"2021-11-06",37
"2021-11-07",10
"2021-11-08",24
"2021-11-09",16
"2021-11-10",38
"2021-11-11",17
"2021-11-12",18
"2021-11-13",10
"2021-11-14",24
"2021-11-15",19
"2021-11-16",12
"2021-11-17",24
"2021-11-18",32
"2021-11-19",27
"2021-11-20",29
"2021-11-21",42
"2021-11-22",22
"2021-11-23",26
"2021-11-24",24
"2021-11-25",37
"2021-11-26",43
"2021-11-27",28
"2021-11-28",16
"2021-11-29",62
"2021-11-30",37
"2021-12-01",35
"2021-12-02",31
"2021-12-03",44
"2021-12-04",27
"2021-12-05",18
"2021-12-06",24
"2021-12-07",64
"2021-12-08",44
"2021-12-09",22
"2021-12-10",36
"2021-12-11",19
"2021-12-12",19
"2021-12-13",27
"2021-12-14",39
"2021-12-15",28
"2021-12-16",42
"2021-12-17",47
"2021-12-18",34
"2021-12-19",36
"2021-12-20",42
"2021-12-21",37
"2021-12-22",44
"2021-12-23",42
"2021-12-24",22
"2021-12-25",17
"2021-12-26",30
"2021-12-27",30
"2021-12-28",44
"2021-12-29",44
"2021-12-30",41
"2021-12-31",18
"2022-01-01",9
"2022-01-02",42
"2022-01-03",28
"2022-01-04",52
"2022-01-05",24
"2022-01-06",22
"2022-01-07",21
"2022-01-08",33
"2022-01-09",42
"2022-01-10",24
"2022-01-11",19
"2022-01-12",28
"2022-01-13",17
"2022-01-14",31
"2022-01-15",36
"2022-01-16",31
"2022-01-17",41
"2022-01-18",22
"2022-01-19",26
"2022-01-20",30
"2022-01-21",12
"2022-01-22",21
"2022-01-23",30
"2022-01-24",18
"2022-01-25",24
"2022-01-26",30
"2022-01-27",21
"2022-01-28",13
"2022-01-29",10
"2022-01-30",5
"2022-01-31",21
"2022-02-01",5
"2022-02-02",13
"2022-02-03",14
"2022-02-04",13
"2022-02-05",17
"2022-02-06",24
"2022-02-07",7
"2022-02-08",19
"2022-02-09",10
"2022-02-10",17
"2022-02-11",10
"2022-02-12",15
"2022-02-13",15
"2022-02-14",32
"2022-02-15",23
"2022-02-16",52
"2022-02-17",13
"2022-02-18",7
"2022-02-19",13
"2022-02-20",15
"2022-02-21",18
"2022-02-22",20
"2022-02-23",23
"2022-02-24",18
"2022-02-25",18
"2022-02-26",21
"2022-02-27",18
"2022-02-28",27
"2022-03-01",18
"2022-03-02",28
"2022-03-03",23
"2022-03-04",47
"2022-03-05",44
"2022-03-06",62
"2022-03-07",38
"2022-03-08",28
"2022-03-09",18
"2022-03-10",40
"2022-03-11",55
"2022-03-12",34
"2022-03-13",27
"2022-03-14",37
"2022-03-15",49
"2022-03-16",49
"2022-03-17",42
"2022-03-18",55
"2022-03-19",31
"2022-03-20",29
"2022-03-21",46
"2022-03-22",31
"2022-03-23",55
"2022-03-24",22
"2022-03-25",41
"2022-03-26",47
"2022-03-27",42
"2022-03-28",65
"2022-03-29",29
"2022-03-30",28
"2022-03-31",21
"2022-04-01",35
"2022-04-02",28
"2022-04-03",13
"2022-04-04",23
"2022-04-05",24
"2022-04-06",45
"2022-04-07",34
"2022-04-08",26
"2022-04-09",23
"2022-04-10",28
"2022-04-11",12
"2022-04-12",18
"2022-04-13",22
"2022-04-14",19
"2022-04-15",17
"2022-04-16",12
"2022-04-17",33
"2022-04-18",17
"2022-04-19",38
"2022-04-20",20
"2022-04-21",42
"2022-04-22",7
"2022-04-23",14
"2022-04-24",14
"2022-04-25",23
"2022-04-26",15
"2022-04-27",6
"2022-04-28",8
"2022-04-29",29
"2022-04-30",11
"2022-05-01",15
"2022-05-02",41
"2022-05-03",11
"2022-05-04",19
"2022-05-05",12
"2022-05-06",26
"2022-05-07",12
"2022-05-08",29
"2022-05-09",34
"2022-05-10",29
"2022-05-11",34
"2022-05-12",29
"2022-05-13",15
"2022-05-14",30
"2022-05-15",27
"2022-05-16",27
"2022-05-17",40
"2022-05-18",39
"2022-05-19",32
"2022-05-20",18
"2022-05-21",18
"2022-05-22",32
"2022-05-23",27
"2022-05-24",19
"2022-05-25",31
"2022-05-26",29
"2022-05-27",42
"2022-05-28",35
"2022-05-29",44
"2022-05-30",37
"2022-05-31",14
"2022-06-01",24
"2022-06-02",13
"2022-06-03",32
"2022-06-04",10
"2022-06-05",16
"2022-06-06",27
"2022-06-07",17
"2022-06-08",16
"2022-06-09",12
"2022-06-10",17
"2022-06-11",12
"2022-06-12",20
"2022-06-13",31
"2022-06-14",33
"2022-06-15",38
"2022-06-16",17
"2022-06-17",21
"2022-06-18",12
"2022-06-19",9
"2022-06-20",15
"2022-06-21",21
"2022-06-22",11
"2022-06-23",5
"2022-06-24",9
"2022-06-25",14
"2022-06-26",22
"2022-06-27",14
"2022-06-28",11
"2022-06-29",13
"2022-06-30",23
"2022-07-01",29
"2022-07-02",12
"2022-07-03",17
"2022-07-04",18
"2022-07-05",34
"2022-07-06",22
"2022-07-07",34
"2022-07-08",10
"2022-07-09",0
