네이버 데이터랩 쇼핑인사이트 > 분야 통계
조회분야
도서 > 컴퓨터/IT
조회기간 : 2021.07.09. ~ 2022.07.09. 일간
기기별 : 전체
성별 : 남성
연령별 : 30대

"날짜","컴퓨터/IT"
"2021-07-09",21
"2021-07-10",11
"2021-07-11",13
"2021-07-12",31
"2021-07-13",26
"2021-07-14",26
"2021-07-15",23
"2021-07-16",28
"2021-07-17",21
"2021-07-18",24
"2021-07-19",31
"2021-07-20",21
"2021-07-21",33
"2021-07-22",24
"2021-07-23",19
"2021-07-24",20
"2021-07-25",10
"2021-07-26",26
"2021-07-27",23
"2021-07-28",28
"2021-07-29",25
"2021-07-30",23
"2021-07-31",14
"2021-08-01",23
"2021-08-02",20
"2021-08-03",23
"2021-08-04",14
"2021-08-05",19
"2021-08-06",19
"2021-08-07",13
"2021-08-08",11
"2021-08-09",30
"2021-08-10",25
"2021-08-11",31
"2021-08-12",20
"2021-08-13",15
"2021-08-14",11
"2021-08-15",17
"2021-08-16",16
"2021-08-17",22
"2021-08-18",21
"2021-08-19",23
"2021-08-20",23
"2021-08-21",14
"2021-08-22",20
"2021-08-23",28
"2021-08-24",23
"2021-08-25",40
"2021-08-26",28
"2021-08-27",27
"2021-08-28",11
"2021-08-29",22
"2021-08-30",26
"2021-08-31",34
"2021-09-01",32
"2021-09-02",49
"2021-09-03",30
"2021-09-04",21
"2021-09-05",23
"2021-09-06",34
"2021-09-07",35
"2021-09-08",40
"2021-09-09",31
"2021-09-10",24
"2021-09-11",19
"2021-09-12",26
"2021-09-13",39
"2021-09-14",26
"2021-09-15",40
"2021-09-16",35
"2021-09-17",23
"2021-09-18",19
"2021-09-19",12
"2021-09-20",18
"2021-09-21",13
"2021-09-22",23
"2021-09-23",30
"2021-09-24",28
"2021-09-25",18
"2021-09-26",22
"2021-09-27",28
"2021-09-28",21
"2021-09-29",36
"2021-09-30",30
"2021-10-01",24
"2021-10-02",24
"2021-10-03",21
"2021-10-04",31
"2021-10-05",38
"2021-10-06",30
"2021-10-07",37
"2021-10-08",26
"2021-10-09",15
"2021-10-10",20
"2021-10-11",28
"2021-10-12",31
"2021-10-13",31
"2021-10-14",39
"2021-10-15",28
"2021-10-16",19
"2021-10-17",22
"2021-10-18",39
"2021-10-19",47
"2021-10-20",33
"2021-10-21",35
"2021-10-22",26
"2021-10-23",28
"2021-10-24",23
"2021-10-25",42
"2021-10-26",45
"2021-10-27",46
"2021-10-28",30
"2021-10-29",32
"2021-10-30",19
"2021-10-31",23
"2021-11-01",56
"2021-11-02",53
"2021-11-03",43
"2021-11-04",48
"2021-11-05",26
"2021-11-06",24
"2021-11-07",24
"2021-11-08",48
"2021-11-09",42
"2021-11-10",43
"2021-11-11",49
"2021-11-12",40
"2021-11-13",24
"2021-11-14",33
"2021-11-15",70
"2021-11-16",42
"2021-11-17",39
"2021-11-18",28
"2021-11-19",37
"2021-11-20",31
"2021-11-21",38
"2021-11-22",58
"2021-11-23",49
"2021-11-24",41
"2021-11-25",45
"2021-11-26",43
"2021-11-27",38
"2021-11-28",42
"2021-11-29",52
"2021-11-30",60
"2021-12-01",62
"2021-12-02",52
"2021-12-03",49
"2021-12-04",28
"2021-12-05",39
"2021-12-06",64
"2021-12-07",59
"2021-12-08",69
"2021-12-09",59
"2021-12-10",52
"2021-12-11",40
"2021-12-12",40
"2021-12-13",70
"2021-12-14",68
"2021-12-15",69
"2021-12-16",57
"2021-12-17",50
"2021-12-18",36
"2021-12-19",44
"2021-12-20",70
"2021-12-21",55
"2021-12-22",60
"2021-12-23",54
"2021-12-24",35
"2021-12-25",26
"2021-12-26",37
"2021-12-27",52
"2021-12-28",56
"2021-12-29",57
"2021-12-30",56
"2021-12-31",57
"2022-01-01",30
"2022-01-02",53
"2022-01-03",97
"2022-01-04",100
"2022-01-05",79
"2022-01-06",54
"2022-01-07",56
"2022-01-08",42
"2022-01-09",38
"2022-01-10",68
"2022-01-11",71
"2022-01-12",58
"2022-01-13",65
"2022-01-14",56
"2022-01-15",35
"2022-01-16",37
"2022-01-17",48
"2022-01-18",55
"2022-01-19",56
"2022-01-20",54
"2022-01-21",44
"2022-01-22",36
"2022-01-23",38
"2022-01-24",56
"2022-01-25",60
"2022-01-26",52
"2022-01-27",47
"2022-01-28",37
"2022-01-29",23
"2022-01-30",26
"2022-01-31",41
"2022-02-01",31
"2022-02-02",31
"2022-02-03",56
"2022-02-04",50
"2022-02-05",30
"2022-02-06",44
"2022-02-07",53
"2022-02-08",71
"2022-02-09",65
"2022-02-10",67
"2022-02-11",58
"2022-02-12",37
"2022-02-13",42
"2022-02-14",45
"2022-02-15",65
"2022-02-16",60
"2022-02-17",66
"2022-02-18",39
"2022-02-19",40
"2022-02-20",51
"2022-02-21",61
"2022-02-22",59
"2022-02-23",56
"2022-02-24",38
"2022-02-25",46
"2022-02-26",31
"2022-02-27",46
"2022-02-28",47
"2022-03-01",72
"2022-03-02",59
"2022-03-03",63
"2022-03-04",56
"2022-03-05",49
"2022-03-06",48
"2022-03-07",52
"2022-03-08",49
"2022-03-09",40
"2022-03-10",48
"2022-03-11",49
"2022-03-12",37
"2022-03-13",42
"2022-03-14",65
"2022-03-15",66
"2022-03-16",56
"2022-03-17",62
"2022-03-18",50
"2022-03-19",29
"2022-03-20",37
"2022-03-21",64
"2022-03-22",44
"2022-03-23",56
"2022-03-24",49
"2022-03-25",37
"2022-03-26",35
"2022-03-27",31
"2022-03-28",51
"2022-03-29",50
"2022-03-30",63
"2022-03-31",49
"2022-04-01",42
"2022-04-02",35
"2022-04-03",36
"2022-04-04",55
"2022-04-05",47
"2022-04-06",63
"2022-04-07",56
"2022-04-08",43
"2022-04-09",34
"2022-04-10",38
"2022-04-11",58
"2022-04-12",54
"2022-04-13",47
"2022-04-14",51
"2022-04-15",36
"2022-04-16",24
"2022-04-17",26
"2022-04-18",61
"2022-04-19",47
"2022-04-20",34
"2022-04-21",62
"2022-04-22",44
"2022-04-23",34
"2022-04-24",38
"2022-04-25",55
"2022-04-26",63
"2022-04-27",56
"2022-04-28",52
"2022-04-29",37
"2022-04-30",28
"2022-05-01",50
"2022-05-02",52
"2022-05-03",46
"2022-05-04",33
"2022-05-05",26
"2022-05-06",35
"2022-05-07",23
"2022-05-08",35
"2022-05-09",59
"2022-05-10",60
"2022-05-11",44
"2022-05-12",46
"2022-05-13",50
"2022-05-14",19
"2022-05-15",29
"2022-05-16",55
"2022-05-17",44
"2022-05-18",48
"2022-05-19",37
"2022-05-20",40
"2022-05-21",26
"2022-05-22",24
"2022-05-23",70
"2022-05-24",35
"2022-05-25",43
"2022-05-26",41
"2022-05-27",24
"2022-05-28",14
"2022-05-29",36
"2022-05-30",43
"2022-05-31",43
"2022-06-01",30
"2022-06-02",45
"2022-06-03",40
"2022-06-04",26
"2022-06-05",23
"2022-06-06",33
"2022-06-07",49
"2022-06-08",35
"2022-06-09",50
"2022-06-10",33
"2022-06-11",18
"2022-06-12",28
"2022-06-13",44
"2022-06-14",44
"2022-06-15",56
"2022-06-16",45
"2022-06-17",35
"2022-06-18",19
"2022-06-19",24
"2022-06-20",47
"2022-06-21",56
"2022-06-22",42
"2022-06-23",51
"2022-06-24",22
"2022-06-25",30
"2022-06-26",41
"2022-06-27",51
"2022-06-28",46
"2022-06-29",51
"2022-06-30",48
"2022-07-01",36
"2022-07-02",28
"2022-07-03",30
"2022-07-04",53
"2022-07-05",42
"2022-07-06",38
"2022-07-07",29
"2022-07-08",12
"2022-07-09",0
