네이버 데이터랩 쇼핑인사이트 > 분야 통계
조회분야
패션의류
패션잡화
화장품/미용
조회기간 : 2022.06.09. ~ 2022.07.09. 일간
기기별 : 전체
성별 : 남성
연령별 : 10대

"날짜","패션의류","패션잡화","화장품/미용"
"2021-07-09",26,36,4
"2021-07-10",34,45,4
"2021-07-11",41,53,5
"2021-07-12",36,47,5
"2021-07-13",34,41,5
"2021-07-14",33,40,4
"2021-07-15",32,37,4
"2021-07-16",31,37,4
"2021-07-17",35,40,5
"2021-07-18",39,47,5
"2021-07-19",36,42,5
"2021-07-20",36,41,5
"2021-07-21",36,41,5
"2021-07-22",34,41,5
"2021-07-23",32,37,5
"2021-07-24",33,37,5
"2021-07-25",35,41,5
"2021-07-26",33,38,5
"2021-07-27",35,38,5
"2021-07-28",33,37,5
"2021-07-29",32,37,5
"2021-07-30",30,34,5
"2021-07-31",29,36,4
"2021-08-01",35,43,5
"2021-08-02",36,43,6
"2021-08-03",35,42,6
"2021-08-04",35,41,5
"2021-08-05",34,39,5
"2021-08-06",32,38,5
"2021-08-07",33,39,5
"2021-08-08",35,43,5
"2021-08-09",37,43,6
"2021-08-10",35,43,6
"2021-08-11",38,43,6
"2021-08-12",36,41,5
"2021-08-13",33,39,5
"2021-08-14",35,39,5
"2021-08-15",38,42,6
"2021-08-16",39,43,6
"2021-08-17",38,42,5
"2021-08-18",35,40,5
"2021-08-19",35,37,5
"2021-08-20",33,34,4
"2021-08-21",41,40,5
"2021-08-22",46,46,5
"2021-08-23",46,42,5
"2021-08-24",42,40,4
"2021-08-25",45,38,5
"2021-08-26",40,37,4
"2021-08-27",39,34,4
"2021-08-28",46,40,5
"2021-08-29",58,48,6
"2021-08-30",48,42,5
"2021-08-31",47,37,4
"2021-09-01",53,42,5
"2021-09-02",52,43,5
"2021-09-03",49,37,4
"2021-09-04",54,42,5
"2021-09-05",69,52,6
"2021-09-06",61,46,5
"2021-09-07",58,41,5
"2021-09-08",55,40,5
"2021-09-09",50,39,4
"2021-09-10",45,34,4
"2021-09-11",57,44,5
"2021-09-12",69,56,6
"2021-09-13",54,43,5
"2021-09-14",49,38,4
"2021-09-15",48,36,4
"2021-09-16",42,35,4
