네이버 데이터랩 쇼핑인사이트 > 분야 통계
조회분야
패션의류
패션잡화
화장품/미용
조회기간 : 2022.06.09. ~ 2022.07.09. 일간
기기별 : 전체
성별 : 여성
연령별 : 20대

"날짜","패션의류","패션잡화","화장품/미용"
"2021-07-09",33,50,18
"2021-07-10",38,56,19
"2021-07-11",48,66,23
"2021-07-12",45,61,23
"2021-07-13",44,59,23
"2021-07-14",42,59,22
"2021-07-15",40,59,21
"2021-07-16",35,54,19
"2021-07-17",38,59,19
"2021-07-18",46,69,23
"2021-07-19",41,61,23
"2021-07-20",41,58,22
"2021-07-21",41,61,22
"2021-07-22",39,59,21
"2021-07-23",34,52,19
"2021-07-24",36,54,19
"2021-07-25",43,61,22
"2021-07-26",39,57,22
"2021-07-27",38,56,21
"2021-07-28",37,53,20
"2021-07-29",35,49,20
"2021-07-30",30,44,18
"2021-07-31",33,47,18
"2021-08-01",40,58,24
"2021-08-02",37,54,23
"2021-08-03",37,52,23
"2021-08-04",36,51,22
"2021-08-05",35,50,21
"2021-08-06",32,45,19
"2021-08-07",33,49,19
"2021-08-08",41,56,23
"2021-08-09",37,52,23
"2021-08-10",37,51,23
"2021-08-11",36,50,23
"2021-08-12",33,48,22
"2021-08-13",30,43,19
"2021-08-14",32,45,19
"2021-08-15",37,50,21
"2021-08-16",40,54,24
"2021-08-17",39,51,24
"2021-08-18",38,50,23
"2021-08-19",37,48,22
"2021-08-20",33,44,20
"2021-08-21",38,50,20
"2021-08-22",45,58,23
"2021-08-23",46,55,24
"2021-08-24",44,53,23
"2021-08-25",44,52,23
"2021-08-26",42,53,23
"2021-08-27",39,49,20
"2021-08-28",41,51,20
"2021-08-29",52,60,22
"2021-08-30",48,56,23
"2021-08-31",49,55,23
"2021-09-01",49,56,23
"2021-09-02",46,52,25
"2021-09-03",42,48,21
"2021-09-04",46,51,21
"2021-09-05",57,62,24
"2021-09-06",53,59,24
"2021-09-07",52,56,23
"2021-09-08",47,52,24
"2021-09-09",46,52,21
"2021-09-10",42,49,19
"2021-09-11",46,54,18
"2021-09-12",57,66,22
"2021-09-13",52,61,22
"2021-09-14",48,55,21
"2021-09-15",42,50,20
"2021-09-16",38,47,18
"2021-09-17",35,43,16
"2021-09-18",40,49,16
"2021-09-19",44,54,17
"2021-09-20",45,54,17
"2021-09-21",48,59,19
"2021-09-22",59,68,23
"2021-09-23",56,64,24
"2021-09-24",49,56,21
"2021-09-25",55,59,21
"2021-09-26",65,70,24
"2021-09-27",62,65,25
"2021-09-28",56,59,23
"2021-09-29",52,57,22
"2021-09-30",48,55,21
"2021-10-01",45,53,21
"2021-10-02",49,55,19
"2021-10-03",55,64,21
"2021-10-04",63,71,24
"2021-10-05",55,62,23
"2021-10-06",51,57,21
"2021-10-07",51,55,21
"2021-10-08",46,50,19
"2021-10-09",49,53,18
"2021-10-10",58,63,21
"2021-10-11",71,68,23
"2021-10-12",66,61,23
"2021-10-13",59,56,21
"2021-10-14",55,54,21
"2021-10-15",50,50,20
"2021-10-16",69,56,18
"2021-10-17",100,70,22
"2021-10-18",92,65,22
"2021-10-19",79,59,21
"2021-10-20",77,56,21
"2021-10-21",73,56,20
"2021-10-22",65,51,19
"2021-10-23",67,54,19
"2021-10-24",83,65,23
"2021-10-25",75,61,25
"2021-10-26",67,56,23
"2021-10-27",62,53,22
"2021-10-28",59,51,21
"2021-10-29",51,46,19
"2021-10-30",55,50,19
"2021-10-31",68,60,23
"2021-11-01",66,59,27
"2021-11-02",63,56,24
"2021-11-03",61,55,23
"2021-11-04",57,53,22
"2021-11-05",50,47,20
"2021-11-06",55,50,20
"2021-11-07",70,62,24
"2021-11-08",73,61,24
"2021-11-09",74,60,23
"2021-11-10",75,60,23
"2021-11-11",70,57,22
"2021-11-12",61,51,19
"2021-11-13",62,51,18
"2021-11-14",74,62,22
"2021-11-15",69,60,23
"2021-11-16",64,55,21
"2021-11-17",61,52,20
"2021-11-18",55,49,19
"2021-11-19",51,48,18
"2021-11-20",55,50,18
"2021-11-21",71,61,21
"2021-11-22",74,63,22
"2021-11-23",73,63,22
"2021-11-24",66,58,21
"2021-11-25",61,55,21
"2021-11-26",55,51,19
"2021-11-27",59,53,18
"2021-11-28",74,65,22
"2021-11-29",69,62,23
"2021-11-30",68,61,22
"2021-12-01",75,66,24
"2021-12-02",66,62,26
"2021-12-03",57,55,22
"2021-12-04",61,58,22
"2021-12-05",77,71,26
"2021-12-06",70,66,26
"2021-12-07",64,63,25
"2021-12-08",60,59,27
"2021-12-09",58,57,22
"2021-12-10",51,52,20
"2021-12-11",56,56,19
"2021-12-12",73,70,23
"2021-12-13",69,69,24
"2021-12-14",63,63,23
"2021-12-15",60,60,22
"2021-12-16",54,55,21
"2021-12-17",50,53,19
"2021-12-18",55,60,19
"2021-12-19",69,73,23
"2021-12-20",59,62,22
"2021-12-21",45,48,19
"2021-12-22",44,48,19
"2021-12-23",43,49,20
"2021-12-24",35,42,16
"2021-12-25",40,49,16
"2021-12-26",57,67,21
"2021-12-27",57,67,23
"2021-12-28",52,61,23
"2021-12-29",48,57,22
"2021-12-30",45,54,21
"2021-12-31",37,47,18
"2022-01-01",39,49,19
"2022-01-02",50,60,24
"2022-01-03",46,57,24
"2022-01-04",45,56,24
"2022-01-05",44,55,23
"2022-01-06",41,52,23
"2022-01-07",38,48,21
"2022-01-08",40,51,20
"2022-01-09",49,60,24
"2022-01-10",46,57,25
"2022-01-11",46,55,24
"2022-01-12",44,55,23
"2022-01-13",43,53,23
"2022-01-14",38,48,21
"2022-01-15",41,52,21
"2022-01-16",50,62,24
"2022-01-17",46,57,24
"2022-01-18",43,53,22
"2022-01-19",42,52,22
"2022-01-20",39,50,21
"2022-01-21",36,46,19
"2022-01-22",40,50,20
"2022-01-23",48,59,23
"2022-01-24",43,54,23
"2022-01-25",40,50,22
"2022-01-26",37,47,21
"2022-01-27",32,42,19
"2022-01-28",30,40,17
"2022-01-29",35,46,17
"2022-01-30",39,50,19
"2022-01-31",40,52,20
"2022-02-01",44,60,24
"2022-02-02",50,67,28
"2022-02-03",47,63,29
"2022-02-04",44,56,25
"2022-02-05",47,59,25
"2022-02-06",54,67,28
"2022-02-07",48,57,28
"2022-02-08",43,53,26
"2022-02-09",41,52,25
"2022-02-10",39,50,23
"2022-02-11",36,46,21
"2022-02-12",40,50,21
"2022-02-13",47,59,24
"2022-02-14",43,54,24
"2022-02-15",41,51,22
"2022-02-16",39,49,22
"2022-02-17",36,47,21
"2022-02-18",34,45,20
"2022-02-19",39,51,21
"2022-02-20",47,60,24
"2022-02-21",43,55,24
"2022-02-22",40,51,23
"2022-02-23",39,51,23
"2022-02-24",37,49,21
"2022-02-25",34,47,20
"2022-02-26",40,53,21
"2022-02-27",47,61,23
