날짜,여성_60대이상,여성_50대,여성_40대,여성_30대,여성_20대,여성_10대,남성_60대이상,남성_50대,남성_40대,남성_30대,남성_20대,남성_10대
2021-10-17,3,4,9,12,10,11,10,17,20,22,10,18
2021-10-18,3,13,18,34,19,18,22,23,34,39,14,14
2021-10-19,0,10,14,42,19,11,32,43,35,47,13,30
2021-10-20,24,14,15,39,14,40,8,29,31,33,12,21
2021-10-21,14,6,12,41,11,25,2,19,30,35,14,14
2021-10-22,7,13,14,31,9,15,8,19,25,26,10,18
2021-10-23,7,2,10,20,9,11,16,11,33,28,5,17
2021-10-24,7,15,15,17,8,18,8,30,21,23,9,21
2021-10-25,17,12,18,34,12,15,10,20,40,42,14,17
2021-10-26,14,11,17,29,12,38,26,27,50,45,11,34
2021-10-27,10,7,15,33,15,24,20,35,36,46,15,38
2021-10-28,14,14,27,37,11,25,20,41,46,30,10,31
2021-10-29,14,16,21,38,15,22,22,23,48,32,12,12
2021-10-30,52,9,10,19,9,20,2,27,27,19,4,21
2021-10-31,3,8,14,24,11,20,20,29,27,23,9,38
2021-11-01,10,19,26,33,18,22,26,24,32,56,17,46
2021-11-02,3,27,20,35,10,40,20,38,51,53,14,33
2021-11-03,24,20,16,50,13,18,16,40,31,43,10,16
2021-11-04,0,17,19,41,13,11,28,38,48,48,13,33
2021-11-05,17,17,24,45,8,24,32,24,52,26,15,30
2021-11-06,14,14,11,25,8,9,18,26,45,24,7,37
2021-11-07,7,20,14,29,12,27,12,10,34,24,13,10
2021-11-08,21,23,27,51,13,11,22,39,89,48,12,24
2021-11-09,7,22,27,42,14,15,12,31,52,42,19,16
2021-11-10,14,20,32,35,11,29,20,27,52,43,15,38
2021-11-11,17,21,23,38,10,16,12,26,44,49,10,17
2021-11-12,3,9,17,31,11,13,18,20,31,40,11,18
2021-11-13,24,10,14,22,7,20,14,21,26,24,8,10
2021-11-14,14,8,13,26,9,18,38,17,34,33,7,24
2021-11-15,14,18,28,39,12,45,26,20,40,70,14,19
2021-11-16,10,14,18,50,13,20,20,19,59,42,11,12
2021-11-17,0,6,21,35,14,11,20,16,37,39,16,24
2021-11-18,7,8,19,36,13,22,22,50,40,28,13,32
2021-11-19,14,10,24,46,15,13,30,29,37,37,12,27
2021-11-20,14,8,17,28,8,38,20,20,39,31,7,29
2021-11-21,0,12,14,31,11,47,18,23,46,38,9,42
2021-11-22,21,11,32,41,14,44,30,43,77,58,14,22
2021-11-23,14,16,24,55,14,75,34,33,60,49,12,26
2021-11-24,7,19,33,45,15,13,12,39,47,41,16,24
2021-11-25,14,16,29,52,11,45,14,42,50,45,13,37
2021-11-26,24,11,28,47,14,27,10,30,42,43,11,43
2021-11-27,7,15,22,37,9,20,54,33,22,38,8,28
2021-11-28,10,19,16,49,9,29,16,32,49,42,14,16
2021-11-29,10,20,38,67,14,29,74,30,64,52,14,62
2021-11-30,0,23,32,56,13,18,52,48,67,60,17,37
2021-12-01,24,16,36,57,16,24,20,38,67,62,18,35
2021-12-02,10,23,33,63,16,53,44,36,65,52,15,31
2021-12-03,21,10,18,51,14,44,50,39,49,49,14,44
2021-12-04,24,8,16,41,10,36,30,25,30,28,9,27
2021-12-05,10,5,24,24,12,27,48,37,61,39,14,18
2021-12-06,14,21,29,68,17,25,38,50,68,64,19,24
2021-12-07,7,16,30,67,16,35,32,48,72,59,13,64
