날짜,남자10대,남자20대,남자30대,남자40대,남자50대,남자60대,여자10대,여자20대,여자30대,여자40대,여자50대,여자60대
2021-10-18,39,24,30,36,25,39,40,24,39,34,31,43
2021-10-19,44,20,30,37,34,34,29,19,33,38,28,31
2021-10-20,43,22,32,29,31,31,28,20,33,41,34,26
2021-10-21,44,25,30,33,28,48,30,23,30,42,37,29
2021-10-22,45,20,35,30,30,25,23,19,28,37,30,28
2021-10-23,34,22,29,36,26,38,22,18,36,33,36,20
2021-10-24,49,26,46,42,36,44,24,19,40,46,58,54
2021-10-25,37,27,40,37,40,34,26,21,40,47,43,35
2021-10-26,59,29,34,36,28,28,23,27,43,44,28,39
2021-10-27,40,25,39,32,32,32,29,21,35,36,34,21
2021-10-28,48,28,35,34,27,56,23,22,35,40,32,23
2021-10-29,43,27,31,35,28,84,25,23,34,36,27,31
2021-10-30,40,26,39,39,33,34,23,23,33,34,24,32
2021-10-31,46,33,43,43,36,52,27,21,38,42,42,29
2021-11-01,61,30,43,49,31,58,25,26,45,47,38,50
2021-11-02,43,30,46,42,39,39,32,29,47,48,38,30
2021-11-03,54,26,44,46,42,46,46,53,95,84,57,50
2021-11-04,53,26,49,36,34,62,40,39,56,61,42,68
2021-11-05,43,26,40,32,29,59,28,30,45,40,31,35
2021-11-06,33,21,41,33,38,41,25,22,36,37,30,17
2021-11-07,36,29,49,43,37,61,32,24,44,41,31,30
2021-11-08,49,37,41,48,44,58,28,27,46,43,38,33
2021-11-09,42,31,46,42,42,40,27,26,46,43,30,38
2021-11-10,45,32,46,36,33,56,23,26,42,45,31,46
2021-11-11,37,25,41,36,27,53,25,25,40,40,28,61
2021-11-12,28,21,32,34,35,53,23,21,33,35,37,32
2021-11-13,30,26,36,38,35,60,20,21,32,36,29,35
2021-11-14,34,26,46,39,33,87,28,21,37,36,32,35
2021-11-15,40,33,46,32,41,42,25,21,33,37,30,35
2021-11-16,31,25,36,32,38,71,20,23,37,36,31,27
2021-11-17,29,25,34,34,42,47,24,23,33,37,31,36
2021-11-18,26,25,38,35,27,25,23,20,36,37,30,30
2021-11-19,33,25,34,37,31,36,24,26,37,44,32,42
2021-11-20,35,25,44,43,36,36,26,20,37,44,29,36
2021-11-21,53,33,42,41,59,41,28,25,49,51,39,38
2021-11-22,44,28,46,39,50,48,29,23,38,48,36,42
2021-11-23,39,29,38,42,39,69,24,19,39,43,30,31
2021-11-24,38,29,43,41,45,94,25,22,41,49,40,57
2021-11-25,40,28,33,33,33,45,23,23,39,43,32,39
2021-11-26,44,26,37,40,27,41,26,20,35,42,31,36
2021-11-27,44,18,33,42,36,48,27,18,35,39,36,50
2021-11-28,40,24,38,54,44,54,28,21,41,47,35,37
2021-11-29,41,24,44,43,41,64,26,22,39,40,30,28
2021-11-30,45,29,46,53,40,60,22,20,38,47,34,43
2021-12-01,37,33,50,51,48,81,23,22,42,43,35,39
2021-12-02,44,24,44,40,33,60,27,20,41,45,36,43
2021-12-03,43,31,34,35,36,47,25,21,40,42,31,50
2021-12-04,46,22,35,42,36,54,21,17,35,46,34,34
2021-12-05,57,33,48,70,44,54,33,23,45,49,35,33
2021-12-06,45,34,62,62,36,67,24,28,50,56,36,34
2021-12-07,45,34,54,43,42,56,23,26,47,52,43,54
2021-12-08,36,31,60,52,51,38,26,25,56,60,51,46
2021-12-09,47,26,58,52,35,41,29,26,45,53,36,30
2021-12-10,48,27,40,45,28,76,26,31,51,55,37,54
2021-12-11,51,28,65,58,41,51,32,27,49,52,38,32
2021-12-12,54,36,53,64,34,29,37,26,51,64,50,55
2021-12-13,47,35,58,58,46,68,29,27,47,55,42,40
2021-12-14,49,40,67,59,46,62,27,25,49,63,40,39
2021-12-15,48,33,57,56,41,52,26,26,52,57,37,41
2021-12-16,53,27,56,66,38,39,29,26,65,70,36,50
2021-12-17,47,24,54,48,34,35,27,26,42,55,31,46
2021-12-18,50,24,50,61,53,38,33,24,44,62,39,49
2021-12-19,56,28,52,66,49,87,32,24,53,67,48,51
2021-12-20,66,35,60,74,55,51,34,27,53,72,39,69
2021-12-21,51,35,49,59,49,47,28,24,47,60,37,23
2021-12-22,54,33,55,55,53,56,31,26,48,64,33,42
2021-12-23,58,29,50,50,38,42,29,23,44,65,30,54
2021-12-24,44,27,47,43,46,56,26,21,44,46,36,33
2021-12-25,43,27,59,57,50,60,29,26,54,57,37,43
2021-12-26,59,25,52,69,55,58,38,33,61,65,59,35
2021-12-27,53,28,53,55,46,53,32,33,55,59,40,35
2021-12-28,51,34,46,47,38,60,27,28,51,63,41,61
2021-12-29,49,30,50,56,51,69,36,30,50,68,41,52
2021-12-30,53,36,58,52,41,67,33,29,46,59,37,22
2021-12-31,41,30,40,63,45,40,29,23,39,51,34,28
2022-01-01,38,28,47,61,53,55,31,22,44,49,42,36
2022-01-02,54,36,55,84,59,73,40,42,67,83,63,60
2022-01-03,56,35,51,61,62,60,34,38,59,72,59,54
2022-01-04,55,43,87,87,56,81,31,35,55,75,66,48
2022-01-05,49,30,66,67,61,81,29,34,56,62,70,69
2022-01-06,41,28,45,49,60,53,30,31,53,63,51,25
2022-01-07,32,21,62,56,43,84,26,36,49,58,57,40
2022-01-08,41,23,47,58,48,84,30,30,47,58,48,57
2022-01-09,36,29,58,62,41,61,32,33,52,62,47,43
2022-01-10,53,37,62,49,38,67,30,30,52,57,49,30
2022-01-11,49,33,56,61,58,78,32,30,43,60,45,28
2022-01-12,44,33,49,48,38,44,34,32,56,63,49,42
2022-01-13,41,29,44,52,33,42,37,36,52,61,44,41
2022-01-14,36,30,47,50,41,47,45,35,48,60,49,20
2022-01-15,48,36,52,53,43,61,40,35,44,50,44,36
2022-01-16,44,44,57,56,60,80,45,38,57,56,49,80
2022-01-17,57,43,65,53,54,49,52,39,58,53,52,31
2022-01-18,49,36,53,53,41,49,50,45,55,57,49,63
2022-01-19,49,42,53,43,42,56,54,39,49,53,45,39
2022-01-20,45,34,45,47,38,24,38,31,42,52,41,35
2022-01-21,32,33,43,43,41,40,58,52,56,56,50,32
2022-01-22,45,39,46,49,48,75,54,36,50,49,37,29
2022-01-23,46,40,52,65,63,36,46,36,46,57,46,43
2022-01-24,76,51,70,62,46,68,70,54,67,60,47,37
2022-01-25,71,81,100,68,78,75,91,96,90,66,57,57
2022-01-26,100,100,100,60,44,95,100,100,86,63,54,33
2022-01-27,60,59,49,44,44,48,64,64,60,54,46,36
2022-01-28,52,42,48,46,39,56,53,47,44,45,31,33
2022-01-29,38,34,42,46,48,45,32,32,39,43,47,42
2022-01-30,37,33,55,41,35,55,35,33,39,42,34,23
2022-01-31,47,27,54,47,40,47,33,32,35,32,25,33
2022-02-01,46,40,53,57,39,34,38,31,50,42,31,44
2022-02-02,58,37,57,80,51,73,43,37,51,61,55,68
2022-02-03,59,39,48,69,45,76,45,32,52,63,49,65
2022-02-04,49,34,53,56,62,47,42,30,40,62,43,46
2022-02-05,46,35,51,56,51,55,39,29,45,62,48,45
2022-02-06,47,34,54,63,44,48,33,29,46,64,48,45
2022-02-07,51,31,59,56,40,62,31,30,48,55,39,50
2022-02-08,45,29,41,51,44,39,25,25,43,47,46,35
2022-02-09,44,26,51,43,43,53,27,23,37,48,35,35
2022-02-10,48,30,39,48,34,53,26,23,32,43,38,34
2022-02-11,40,23,43,41,28,48,30,22,32,48,33,44
