날짜,경제_경영_남성_10대,경제_경영_남성_20대,경제_경영_남성_30대,경제_경영_남성_40대,경제_경영_남성_50대,경제_경영_남성_60대이상,경제_경영_여성_10대,경제_경영_여성_20대,경제_경영_여성_30대,경제_경영_여성_40대,경제_경영_여성_50대,경제_경영_여성_60대이상
2021-10-15,45,22,43,46,54,33,29,14,38,48,28,15
2021-10-16,13,21,31,38,34,32,27,10,24,30,23,12
2021-10-17,27,16,39,49,62,32,31,10,22,29,23,18
2021-10-18,34,22,46,37,38,30,27,15,30,34,21,10
2021-10-19,37,21,35,50,50,39,22,15,39,30,27,13
2021-10-20,37,25,49,39,50,45,29,14,34,29,20,11
2021-10-21,30,19,38,31,41,46,49,14,34,33,21,12
2021-10-22,15,14,27,34,24,14,37,11,26,25,19,10
2021-10-23,15,15,25,32,30,13,16,9,20,19,10,10
2021-10-24,13,20,31,36,36,32,53,10,21,25,17,7
2021-10-25,37,21,35,43,37,20,45,11,40,25,16,21
2021-10-26,66,19,38,34,33,36,35,11,33,29,19,25
2021-10-27,21,17,31,36,39,22,37,10,30,31,16,12
2021-10-28,18,17,33,33,40,27,29,11,30,29,20,7
2021-10-29,21,15,32,38,43,23,24,7,23,23,15,20
2021-10-30,15,17,28,31,36,33,14,7,23,18,17,9
2021-10-31,44,19,32,38,56,31,43,9,27,27,23,13
2021-11-01,61,25,40,55,41,44,41,13,31,38,32,16
2021-11-02,32,19,41,36,46,45,37,13,37,37,23,19
2021-11-03,20,21,37,47,70,40,45,11,33,43,26,11
2021-11-04,21,23,45,42,37,27,35,10,38,41,20,21
2021-11-05,38,20,32,49,51,43,24,11,30,32,19,14
2021-11-06,24,12,26,29,45,32,18,8,29,31,15,17
2021-11-07,34,25,43,45,43,20,33,7,27,32,23,23
2021-11-08,44,25,47,52,66,53,51,11,35,44,24,18
2021-11-09,31,25,54,43,56,38,35,11,45,39,29,20
2021-11-10,21,24,45,59,66,52,37,13,41,35,27,22
2021-11-11,17,17,41,47,53,51,43,10,40,41,22,27
2021-11-12,14,20,36,43,47,38,35,9,34,34,23,15
2021-11-13,18,18,32,44,47,36,14,7,31,27,21,14
2021-11-14,15,19,40,39,51,38,24,8,33,25,16,11
2021-11-15,20,22,44,49,62,31,22,12,41,25,20,8
2021-11-16,23,23,52,46,56,41,41,11,40,39,20,7
2021-11-17,23,23,44,44,46,21,29,12,44,34,21,19
2021-11-18,20,28,45,43,62,23,10,10,41,34,14,15
2021-11-19,28,24,47,44,54,38,29,10,41,34,29,23
2021-11-20,17,22,38,47,63,45,20,9,25,34,27,16
2021-11-21,24,17,48,49,68,52,53,13,33,36,30,12
2021-11-22,55,33,67,45,52,26,57,15,44,44,21,15
2021-11-23,49,44,58,59,58,51,18,14,53,41,27,14
2021-11-24,28,36,59,63,61,52,22,14,50,50,30,14
2021-11-25,41,31,59,59,61,39,47,11,43,49,26,18
2021-11-26,44,23,43,58,57,42,25,14,41,41,27,14
2021-11-27,14,30,45,61,62,54,22,9,28,39,27,18
2021-11-28,35,31,52,64,56,61,47,11,43,36,34,27
2021-11-29,56,33,63,69,60,40,45,15,54,52,30,19
2021-11-30,46,40,62,75,64,54,37,18,59,49,32,14
2021-12-01,51,31,67,71,72,50,47,15,58,52,30,18
2021-12-02,51,31,52,76,62,54,35,16,55,59,25,17
2021-12-03,59,37,62,66,68,61,35,14,48,52,28,12
2021-12-04,70,35,55,59,66,60,27,9,46,50,23,30
2021-12-05,75,64,88,76,77,89,41,18,48,40,27,23
2021-12-06,52,51,66,70,74,53,47,13,54,47,33,14
2021-12-07,54,38,69,61,58,75,35,15,57,52,29,18
2021-12-08,65,48,74,64,64,67,25,14,52,51,23,15
2021-12-09,20,45,71,68,58,41,27,16,54,44,30,13
2021-12-10,46,35,63,62,55,40,14,15,46,46,27,23
2021-12-11,25,27,50,57,69,42,18,10,46,43,24,19
2021-12-12,58,34,65,72,66,57,25,12,44,47,35,12
2021-12-13,44,48,79,78,87,56,27,18,54,52,32,21
