날짜,여성_60대_이상,여성_50대,여성_40대,여성_30대,여성_20대,여성_10대,남성_60대_이상,남성_50대,남성_40대,남성_30대,남성_20대,남성_10대
2021-10-17,77,91,100,100,100,100,86,94,100,100,100,100
2021-10-18,72,80,91,95,92,79,86,80,85,92,97,89
2021-10-19,73,80,86,87,79,63,83,77,81,84,85,72
2021-10-20,73,79,86,86,77,58,82,77,79,81,81,70
2021-10-21,74,79,84,81,73,55,81,73,75,75,75,63
2021-10-22,69,74,75,72,65,47,77,67,66,63,65,53
2021-10-23,73,84,84,77,67,61,76,76,77,69,65,63
2021-10-24,77,92,96,94,83,65,85,89,95,89,78,73
2021-10-25,69,74,79,83,75,47,80,74,75,76,74,59
2021-10-26,69,73,77,78,67,42,76,72,72,73,71,53
2021-10-27,68,71,73,72,62,39,72,67,67,68,65,50
2021-10-28,66,71,70,69,59,36,71,63,62,61,60,46
2021-10-29,64,66,64,60,51,33,68,61,57,54,54,42
2021-10-30,71,80,74,67,55,43,72,71,66,60,55,51
2021-10-31,71,83,82,80,68,49,81,81,81,77,68,62
2021-11-01,69,71,71,75,66,39,78,71,68,72,72,53
2021-11-02,69,72,73,75,63,37,80,68,67,68,67,49
2021-11-03,70,73,72,73,61,36,75,67,64,65,64,47
2021-11-04,70,73,70,69,57,35,74,65,60,60,60,45
2021-11-05,63,66,62,60,50,33,72,59,54,51,53,39
2021-11-06,67,78,73,67,55,43,73,70,65,58,53,50
2021-11-07,74,86,86,82,70,52,81,84,83,78,66,60
2021-11-08,79,81,81,83,73,44,88,79,76,76,74,55
2021-11-09,79,84,88,88,74,47,90,84,80,79,75,58
2021-11-10,78,86,90,88,75,51,92,81,80,80,78,61
2021-11-11,78,84,86,83,70,51,89,78,74,73,72,59
2021-11-12,72,74,74,72,61,50,79,70,65,63,62,55
2021-11-13,68,75,75,73,62,54,79,72,70,64,60,57
2021-11-14,66,77,79,84,74,59,80,79,80,79,71,61
2021-11-15,57,60,64,74,69,49,73,62,64,69,70,53
2021-11-16,57,59,63,71,64,44,70,62,62,66,66,48
2021-11-17,57,59,62,69,61,40,68,59,57,61,61,43
2021-11-18,59,60,61,65,55,35,71,59,57,58,57,40
2021-11-19,66,70,66,63,51,38,74,63,58,54,53,44
2021-11-20,71,81,75,68,55,42,80,73,69,61,53,46
2021-11-21,79,90,88,84,71,49,85,84,84,79,66,56
2021-11-22,75,80,84,84,74,47,90,80,79,79,75,56
2021-11-23,79,85,91,88,73,52,95,83,82,81,76,61
2021-11-24,76,81,84,81,66,45,88,78,76,74,68,55
2021-11-25,69,75,74,71,61,43,81,72,67,64,64,53
2021-11-26,70,72,69,64,55,38,78,67,61,59,58,48
2021-11-27,74,82,78,70,59,49,80,77,72,64,59,57
2021-11-28,81,92,91,87,74,60,94,95,93,84,71,66
2021-11-29,72,75,76,77,69,42,82,74,72,74,70,54
2021-11-30,75,78,78,78,68,42,86,77,74,73,71,53
2021-12-01,80,84,86,84,75,50,94,83,80,80,81,62
2021-12-02,76,80,80,77,66,45,87,78,76,73,70,55
2021-12-03,72,76,72,67,57,39,83,73,67,62,60,48
2021-12-04,78,89,83,74,61,47,95,87,80,69,61,56
2021-12-05,82,95,92,88,77,54,100,100,99,90,74,63
2021-12-06,72,77,75,78,70,42,83,77,73,74,71,49
2021-12-07,72,75,73,74,64,36,80,73,71,71,66,46
2021-12-08,70,74,71,70,60,37,80,69,67,67,64,45
2021-12-09,67,73,69,66,58,36,77,67,62,62,60,43
2021-12-10,68,69,62,58,51,34,70,62,57,54,56,40
2021-12-11,73,82,74,64,56,43,79,74,67,61,58,49
2021-12-12,78,92,87,83,73,52,90,92,90,83,73,61
2021-12-13,71,75,73,75,69,41,84,74,72,75,73,51
2021-12-14,68,72,69,70,63,37,76,69,66,67,67,47
2021-12-15,69,70,66,66,60,36,75,65,62,63,62,45
2021-12-16,65,67,62,59,54,34,73,61,57,55,55,42
2021-12-17,64,68,60,56,50,33,73,63,56,53,53,40
2021-12-18,73,80,71,62,55,41,82,76,70,60,56,48
2021-12-19,74,85,78,74,69,48,87,87,84,76,70,58
2021-12-20,58,60,56,59,59,36,67,59,56,60,62,43
2021-12-21,52,52,48,49,45,26,58,50,46,48,49,33
2021-12-22,55,56,50,49,44,27,63,52,49,49,49,37
2021-12-23,61,60,52,48,43,28,62,56,50,49,48,37
2021-12-24,56,56,45,40,35,24,61,53,46,43,43,34
2021-12-25,67,75,60,48,40,30,78,73,64,55,48,41
2021-12-26,74,84,73,65,57,40,87,85,80,74,63,54
2021-12-27,66,68,62,62,57,33,74,66,65,68,64,45
2021-12-28,65,65,60,59,52,31,68,62,60,61,59,41
2021-12-29,64,65,58,55,48,30,65,61,57,56,54,39
2021-12-30,61,62,55,51,45,29,66,60,53,52,51,38
2021-12-31,55,56,48,43,37,24,59,54,49,46,44,34
2022-01-01,71,72,58,50,39,26,78,74,63,53,45,34
2022-01-02,81,83,68,62,50,29,86,83,75,67,55,39
2022-01-03,75,69,57,55,46,24,72,67,59,59,52,35
2022-01-04,75,70,58,54,45,23,73,66,58,55,51,31
2022-01-05,75,72,59,54,44,23,71,64,57,54,50,32
2022-01-06,72,69,56,51,41,23,67,60,51,49,46,31
2022-01-07,70,68,53,46,38,23,69,58,48,43,40,29
2022-01-08,78,84,64,53,40,27,75,71,60,50,42,32
2022-01-09,82,91,72,63,49,30,80,80,71,62,50,34
2022-01-10,70,68,56,54,46,24,68,60,53,53,49,31
2022-01-11,74,72,60,56,46,26,72,64,55,53,50,33
2022-01-12,74,73,59,55,44,27,71,62,55,51,49,35
2022-01-13,75,72,59,52,43,27,71,62,53,49,47,33
2022-01-14,70,67,53,46,38,25,66,56,46,42,40,30
2022-01-15,75,82,63,52,41,28,72,67,57,48,43,31
2022-01-16,82,88,71,63,50,32,77,78,70,61,51,36
2022-01-17,71,71,60,56,46,28,66,62,54,52,49,32
2022-01-18,70,68,58,53,43,28,65,57,50,48,46,33
2022-01-19,67,69,58,52,42,28,63,58,50,47,44,33
2022-01-20,68,66,55,48,39,27,62,53,47,44,42,32
2022-01-21,64,63,51,44,36,26,57,50,42,39,38,29
2022-01-22,73,78,62,51,40,28,62,60,52,44,40,31
2022-01-23,75,84,69,60,48,33,71,71,65,57,46,35
2022-01-24,62,62,54,51,43,29,58,52,46,46,44,32
2022-01-25,60,61,51,47,40,27,58,50,44,43,42,32
2022-01-26,57,58,48,43,37,26,52,45,40,39,39,30
2022-01-27,56,54,43,37,32,25,49,40,34,34,35,28
2022-01-28,51,51,39,33,30,23,47,41,33,31,31,27
2022-01-29,57,61,49,40,35,25,56,51,44,37,33,28
2022-01-30,53,60,49,44,39,27,56,55,48,41,37,32
2022-01-31,46,50,43,43,40,28,51,49,45,41,38,33
2022-02-01,56,55,46,45,44,38,54,50,46,42,44,47
2022-02-02,70,70,57,53,50,43,62,59,55,51,49,49
2022-02-03,66,61,50,48,47,40,58,51,47,47,50,45
2022-02-04,68,62,50,47,44,36,59,50,44,42,46,41
2022-02-05,80,78,62,55,47,37,67,61,55,48,47,40
2022-02-06,79,81,66,63,54,38,71,68,61,56,51,42
2022-02-07,70,62,51,52,48,33,57,50,45,47,48,37
2022-02-08,67,60,50,50,43,30,57,48,43,45,46,35
2022-02-09,67,62,50,48,41,29,59,48,42,43,45,35
2022-02-10,66,60,49,46,39,29,56,44,40,40,43,33
2022-02-11,68,62,48,42,36,27,54,44,38,37,40,32
2022-02-12,76,76,59,48,40,31,61,55,48,42,41,32
2022-02-13,80,82,65,58,47,35,67,63,59,54,48,36
2022-02-14,64,62,51,49,43,30,55,48,44,45,46,34
2022-02-15,66,61,50,47,41,31,59,49,43,44,45,35
2022-02-16,68,62,48,45,39,31,58,48,41,41,43,34
2022-02-17,65,58,45,41,36,29,56,47,39,39,40,32
2022-02-18,63,58,45,39,34,29,55,44,38,36,38,31
2022-02-19,74,73,57,48,39,33,60,55,48,42,39,31
2022-02-20,80,82,66,58,47,37,69,64,60,53,47,36
2022-02-21,67,62,50,48,43,35,56,50,45,45,46,35
2022-02-22,66,62,49,46,40,35,56,47,43,42,43,35
2022-02-23,66,62,49,44,39,34,59,49,43,42,43,34
2022-02-24,68,60,47,42,37,34,59,46,40,37,39,33
2022-02-25,64,60,45,39,34,32,56,44,38,35,35,30
2022-02-26,77,76,59,48,40,35,63,56,49,42,39,32
2022-02-27,76,79,64,57,47,35,64,62,59,52,45,34
2022-02-28,66,62,50,47,41,31,55,49,46,44,43,33
2022-03-01,84,84,68,63,50,33,67,67,65,59,51,35
2022-03-02,67,64,50,50,43,20,56,51,48,49,46,27
2022-03-03,67,64,50,47,38,19,56,51,47,46,43,25
2022-03-04,68,64,51,45,36,19,56,49,45,41,39,26
2022-03-05,76,80,64,54,41,32,65,62,57,47,41,36
2022-03-06,77,86,71,65,50,37,69,71,68,60,49,40
2022-03-07,69,66,55,52,41,22,57,53,50,49,45,28
2022-03-08,67,65,54,50,38,21,57,52,47,43,40,25
2022-03-09,75,85,72,62,45,33,61,64,63,54,43,34
2022-03-10,62,65,56,52,39,23,52,50,48,45,42,28
2022-03-11,69,68,56,49,37,22,62,55,51,45,41,27
2022-03-12,81,90,73,60,44,36,70,73,66,54,45,40
2022-03-13,90,98,80,71,53,42,84,86,81,67,53,46
2022-03-14,76,74,60,57,43,23,67,63,58,55,48,32
2022-03-15,71,73,61,56,41,23,64,59,56,52,46,30
2022-03-16,75,75,63,57,41,24,65,61,58,53,46,30
2022-03-17,76,75,60,53,39,25,68,61,55,48,42,30
2022-03-18,75,71,55,47,36,25,66,55,49,42,37,28
2022-03-19,83,88,68,56,41,38,73,70,61,49,41,37
2022-03-20,80,89,73,65,49,41,67,73,68,59,48,42
2022-03-21,70,69,58,54,42,24,60,57,53,51,44,29
2022-03-22,70,68,58,54,39,22,61,57,53,49,42,28
2022-03-23,76,73,60,53,38,23,63,57,52,47,42,28
2022-03-24,73,72,58,50,36,19,62,55,48,42,37,23
2022-03-25,69,67,54,45,33,23,60,52,46,38,34,25
2022-03-26,81,86,67,53,38,34,72,67,59,46,37,36
2022-03-27,80,89,73,63,46,38,70,74,70,58,45,42
2022-03-28,70,70,59,54,40,23,63,58,53,49,42,28
2022-03-29,71,70,60,54,38,22,63,58,53,48,41,27
2022-03-30,73,74,61,52,37,23,65,60,52,46,40,27
2022-03-31,72,69,55,48,34,22,65,56,48,42,37,26
2022-04-01,71,66,53,44,33,22,61,53,44,39,35,25
2022-04-02,75,80,63,50,35,33,64,62,53,43,36,34
2022-04-03,79,87,72,61,42,36,72,75,67,56,43,41
2022-04-04,74,73,62,56,39,24,66,62,55,51,44,29
2022-04-05,75,73,62,55,38,24,68,60,55,50,41,27
2022-04-06,77,75,63,55,37,26,68,61,54,47,40,28
2022-04-07,76,73,59,50,34,25,66,60,50,43,37,26
2022-04-08,70,69,54,44,31,27,62,54,45,38,34,25
2022-04-09,79,83,64,49,34,35,69,65,54,42,37,35
2022-04-10,83,92,75,61,42,40,76,78,70,56,45,42
2022-04-11,80,78,67,59,42,33,76,73,65,58,50,35
2022-04-12,84,84,71,60,42,33,78,73,67,59,51,32
2022-04-13,88,84,67,56,38,31,78,69,60,51,45,32
2022-04-14,78,75,58,50,35,35,69,61,51,43,39,30
2022-04-15,73,70,54,43,31,38,64,55,45,38,34,29
2022-04-16,80,87,66,50,35,41,66,66,56,42,37,38
