날짜,여가_생활편의_남자_10,여가_생활편의_남자_20,여가_생활편의_남자_30,여가_생활편의_남자_40,여가_생활편의_남자_50,여가_생활편의_남자_60,여가_생활편의_여자_10,여가_생활편의_여자_20,여가_생활편의_여자_30,여가_생활편의_여자_40,여가_생활편의_여자_50,여가_생활편의_여자_60
2021-10-15,39,48,54,46,46,51,39,50,54,44,46,53
2021-10-16,44,48,54,47,44,50,40,48,54,45,46,51
2021-10-17,45,48,56,46,45,53,36,51,54,43,43,51
2021-10-18,32,49,61,48,49,51,34,51,56,42,44,54
2021-10-19,32,47,57,49,50,54,34,49,54,42,44,52
2021-10-20,35,48,56,48,49,53,37,49,54,43,47,53
2021-10-21,39,50,56,49,51,54,40,52,55,46,49,53
2021-10-22,43,50,56,50,50,55,45,52,55,47,48,54
2021-10-23,47,52,55,50,49,56,47,52,56,48,50,56
2021-10-24,43,53,60,49,51,59,43,58,60,49,50,57
2021-10-25,43,57,65,54,56,64,41,62,64,49,51,62
2021-10-26,37,54,61,54,57,63,39,59,60,48,51,59
2021-10-27,40,55,60,49,54,63,42,59,59,48,52,64
2021-10-28,41,56,60,52,55,61,42,60,60,50,53,60
2021-10-29,53,58,62,55,58,67,49,61,62,55,54,63
2021-10-30,57,62,65,59,61,75,62,65,66,60,62,67
2021-10-31,55,68,73,65,66,76,55,74,75,63,63,70
2021-11-01,48,77,83,70,72,82,53,85,85,66,66,79
2021-11-02,42,64,74,63,66,73,44,75,77,61,65,72
2021-11-03,43,68,70,59,62,74,45,72,73,57,62,69
2021-11-04,40,62,67,57,61,69,43,70,70,57,60,66
2021-11-05,43,59,64,55,55,62,49,67,67,55,56,60
2021-11-06,50,62,67,57,60,66,51,65,67,59,62,67
2021-11-07,51,64,69,58,61,68,51,72,71,59,61,66
2021-11-08,39,66,75,60,65,74,47,75,75,58,64,66
2021-11-09,39,64,73,59,65,69,44,74,74,57,61,69
2021-11-10,47,62,67,54,58,63,44,69,68,52,56,60
2021-11-11,63,64,66,53,57,64,54,66,66,53,57,61
2021-11-12,43,58,61,51,56,59,47,64,64,52,53,57
2021-11-13,41,59,63,52,55,59,48,63,63,52,54,58
2021-11-14,43,64,68,54,57,64,50,71,68,53,56,60
2021-11-15,44,66,74,57,59,62,49,78,73,53,54,61
2021-11-16,40,61,68,54,58,63,49,71,69,52,54,58
2021-11-17,39,59,63,50,52,55,47,68,67,49,51,54
2021-11-18,38,59,63,51,53,59,41,68,66,49,50,55
2021-11-19,49,62,66,56,58,62,56,68,68,55,56,61
2021-11-20,48,63,67,55,57,62,56,67,69,56,58,60
2021-11-21,51,68,72,58,60,67,58,77,74,58,60,64
2021-11-22,43,70,75,57,60,63,59,81,75,54,55,62
2021-11-23,44,67,71,55,60,59,56,76,70,52,53,57
2021-11-24,44,64,68,54,56,57,53,74,68,50,53,59
2021-11-25,50,65,66,53,55,56,55,72,66,51,51,56
2021-11-26,53,65,64,52,55,55,60,68,64,50,51,53
2021-11-27,66,67,67,55,53,59,67,70,67,54,53,56
2021-11-28,59,73,71,58,59,58,71,80,73,57,58,58
2021-11-29,57,75,76,57,58,55,74,85,76,55,54,58
2021-11-30,55,76,74,56,59,57,69,84,72,54,57,61
2021-12-01,59,83,75,55,55,55,71,90,72,51,54,56
2021-12-02,55,75,71,53,55,54,68,83,68,51,52,52
2021-12-03,55,72,70,53,54,52,73,79,66,49,52,50
2021-12-04,63,75,67,54,56,55,74,76,65,52,54,54
2021-12-05,60,82,75,58,59,59,81,87,73,57,60,58
2021-12-06,62,86,82,59,61,60,89,92,77,56,57,59
2021-12-07,55,82,76,58,60,59,73,84,72,53,55,56
2021-12-08,60,77,69,52,54,50,70,77,64,48,51,54
2021-12-09,58,75,69,52,55,51,70,75,63,49,52,53
2021-12-10,64,74,67,52,53,53,65,71,60,48,49,48
2021-12-11,68,78,68,55,56,57,75,71,63,53,56,56
2021-12-12,72,83,74,58,60,57,82,82,69,56,57,59
2021-12-13,63,88,76,57,60,60,85,85,70,53,53,53
2021-12-14,61,85,72,54,56,57,74,78,64,49,51,52
2021-12-15,60,85,69,53,55,53,76,77,63,49,51,51
2021-12-16,65,88,71,55,57,56,82,80,63,51,54,53
2021-12-17,66,80,66,52,53,51,76,72,58,48,50,49
2021-12-18,70,88,69,54,56,56,74,73,58,50,53,52
2021-12-19,74,96,74,58,61,55,85,86,64,55,57,55
2021-12-20,69,99,81,60,60,57,93,91,69,55,55,57
2021-12-21,65,95,76,59,61,58,81,86,65,55,55,55
2021-12-22,64,99,77,60,61,56,81,84,64,55,57,52
2021-12-23,78,98,78,65,64,58,90,86,67,60,59,56
2021-12-24,90,100,81,68,67,56,100,81,65,61,61,54
2021-12-25,100,96,78,69,68,59,91,77,65,63,64,61
2021-12-26,80,91,78,65,64,58,83,83,71,62,60,58
2021-12-27,73,95,85,70,66,57,81,88,77,65,57,55
2021-12-28,72,93,83,72,68,60,77,86,78,68,60,58
2021-12-29,79,94,82,72,67,61,81,84,78,71,64,57
2021-12-30,80,93,82,72,71,61,92,85,79,73,64,59
2021-12-31,88,92,83,73,69,60,85,77,71,67,61,55
2022-01-01,74,95,85,78,73,68,61,76,71,73,71,66
2022-01-02,63,87,80,78,80,76,52,81,76,79,76,74
2022-01-03,53,88,80,73,74,69,49,82,75,76,72,70
2022-01-04,51,87,76,71,74,70,45,77,73,76,70,73
2022-01-05,56,84,74,73,75,69,47,81,73,78,74,75
2022-01-06,49,79,69,67,69,62,46,73,70,73,68,67
2022-01-07,48,75,72,69,72,67,44,70,69,75,69,68
2022-01-08,51,79,75,76,78,70,50,70,71,80,77,73
2022-01-09,54,85,79,77,77,74,51,79,77,82,80,76
2022-01-10,50,84,79,74,74,71,47,79,76,78,73,72
2022-01-11,50,80,74,70,70,68,43,76,71,74,70,66
2022-01-12,57,79,72,69,72,67,50,75,71,74,71,67
2022-01-13,53,81,73,70,71,67,49,73,71,75,71,68
2022-01-14,49,80,74,70,70,64,46,71,68,74,70,64
2022-01-15,51,83,74,74,74,66,54,72,70,79,74,70
2022-01-16,54,81,77,75,73,69,51,77,75,80,78,73
2022-01-17,49,86,77,71,70,59,52,80,74,74,67,63
2022-01-18,47,78,71,67,69,59,51,74,68,71,67,60
2022-01-19,49,77,68,64,67,62,47,72,65,68,66,62
2022-01-20,47,76,70,65,65,57,49,71,65,68,64,61
2022-01-21,53,76,68,66,64,58,51,69,64,68,60,58
2022-01-22,53,78,74,72,69,59,56,71,69,76,70,64
2022-01-23,49,83,78,74,73,68,52,77,77,80,74,70
2022-01-24,55,80,74,66,68,65,51,77,71,70,65,62
2022-01-25,54,79,69,62,63,57,52,74,65,64,61,62
2022-01-26,51,76,67,58,60,55,47,71,61,60,58,59
2022-01-27,55,75,64,56,55,51,44,67,57,56,56,51
2022-01-28,51,73,64,56,58,54,43,62,54,56,54,53
2022-01-29,52,72,68,62,63,56,45,63,58,60,59,54
2022-01-30,54,71,65,63,64,57,44,65,60,60,59,55
2022-01-31,48,68,63,57,57,54,46,63,54,50,49,48
2022-02-01,71,83,68,57,53,53,52,70,57,50,49,51
2022-02-02,74,86,75,68,69,65,56,76,66,65,66,69
2022-02-03,71,88,79,68,66,58,56,82,71,65,60,62
2022-02-04,61,79,75,65,63,57,50,73,67,64,59,64
2022-02-05,61,76,70,64,62,62,47,69,65,64,65,67
2022-02-06,56,74,70,61,60,61,48,74,66,62,64,68
2022-02-07,47,75,67,57,57,58,43,69,62,57,58,62
2022-02-08,46,70,63,56,58,57,43,68,60,57,58,60
2022-02-09,46,68,62,54,54,53,41,64,58,57,56,59
2022-02-10,51,71,63,57,56,56,40,63,58,59,60,61
