네이버 데이터랩 쇼핑인사이트 > 분야 통계
조회분야
패션의류
패션잡화
화장품/미용
조회기간 : 2022.06.09. ~ 2022.07.09. 일간
기기별 : 전체
성별 : 남성
연령별 : 40대

"날짜","패션의류","패션잡화","화장품/미용"
"2021-07-09",32,44,7
"2021-07-10",39,52,7
"2021-07-11",48,61,8
"2021-07-12",42,50,9
"2021-07-13",43,50,8
"2021-07-14",43,48,8
"2021-07-15",40,48,8
"2021-07-16",35,44,7
"2021-07-17",40,51,7
"2021-07-18",49,60,9
"2021-07-19",39,50,9
"2021-07-20",39,49,9
"2021-07-21",39,47,8
"2021-07-22",37,46,8
"2021-07-23",32,42,7
"2021-07-24",35,45,7
"2021-07-25",41,52,8
"2021-07-26",32,43,8
"2021-07-27",34,44,8
"2021-07-28",32,43,8
"2021-07-29",30,41,7
"2021-07-30",26,37,6
"2021-07-31",30,43,7
"2021-08-01",35,49,9
"2021-08-02",29,43,9
"2021-08-03",29,44,9
"2021-08-04",29,42,9
"2021-08-05",28,42,8
"2021-08-06",25,38,7
"2021-08-07",28,44,8
"2021-08-08",33,51,9
"2021-08-09",26,42,9
"2021-08-10",26,42,9
"2021-08-11",25,42,9
"2021-08-12",24,39,8
"2021-08-13",22,36,7
"2021-08-14",25,41,7
"2021-08-15",27,43,8
"2021-08-16",29,47,9
"2021-08-17",25,40,9
"2021-08-18",25,40,8
"2021-08-19",25,39,8
"2021-08-20",23,36,7
"2021-08-21",30,45,7
"2021-08-22",33,49,8
"2021-08-23",30,45,9
"2021-08-24",30,45,8
"2021-08-25",30,43,8
"2021-08-26",28,41,7
"2021-08-27",29,39,7
"2021-08-28",32,43,6
"2021-08-29",38,51,8
"2021-08-30",32,43,8
"2021-08-31",35,44,8
"2021-09-01",36,45,9
"2021-09-02",34,42,8
"2021-09-03",33,39,7
"2021-09-04",38,45,7
"2021-09-05",47,53,9
"2021-09-06",40,46,9
"2021-09-07",42,46,8
"2021-09-08",38,43,8
"2021-09-09",38,43,8
"2021-09-10",34,40,7
"2021-09-11",40,47,7
"2021-09-12",49,57,8
"2021-09-13",40,48,8
"2021-09-14",39,44,8
"2021-09-15",34,40,7
"2021-09-16",32,37,6
"2021-09-17",31,35,5
"2021-09-18",36,42,5
"2021-09-19",38,44,5
"2021-09-20",37,42,5
"2021-09-21",37,42,6
"2021-09-22",50,54,8
"2021-09-23",45,49,9
"2021-09-24",43,45,8
"2021-09-25",52,51,8
"2021-09-26",60,58,8
"2021-09-27",48,48,9
"2021-09-28",48,47,8
"2021-09-29",46,47,8
"2021-09-30",41,41,7
"2021-10-01",39,40,7
"2021-10-02",46,47,7
"2021-10-03",51,54,7
"2021-10-04",58,58,9
"2021-10-05",43,47,8
"2021-10-06",45,46,8
"2021-10-07",43,45,8
"2021-10-08",40,41,7
"2021-10-09",46,46,6
"2021-10-10",56,54,7
"2021-10-11",67,57,8
"2021-10-12",59,48,8
"2021-10-13",56,46,8
"2021-10-14",54,47,8
"2021-10-15",50,42,7
"2021-10-16",73,49,7
"2021-10-17",100,58,8
"2021-10-18",85,51,9
"2021-10-19",81,49,9
"2021-10-20",79,48,8
"2021-10-21",75,46,8
"2021-10-22",66,42,7
"2021-10-23",77,47,7
"2021-10-24",95,58,8
"2021-10-25",75,49,9
"2021-10-26",72,49,9
"2021-10-27",67,47,8
"2021-10-28",62,44,8
"2021-10-29",57,42,7
"2021-10-30",66,48,7
"2021-10-31",81,56,9
"2021-11-01",68,51,10
"2021-11-02",67,49,9
"2021-11-03",64,47,9
"2021-11-04",60,46,8
"2021-11-05",54,40,7
"2021-11-06",65,47,7
"2021-11-07",83,58,8
"2021-11-08",76,54,9
"2021-11-09",80,52,9
"2021-11-10",80,51,8
"2021-11-11",74,48,8
"2021-11-12",65,42,7
"2021-11-13",70,43,6
"2021-11-14",80,50,7
"2021-11-15",64,43,8
"2021-11-16",62,42,8
"2021-11-17",57,40,7
"2021-11-18",57,40,7
"2021-11-19",58,42,7
"2021-11-20",69,49,7
"2021-11-21",84,60,9
"2021-11-22",79,52,9
"2021-11-23",82,53,9
"2021-11-24",76,51,9
"2021-11-25",67,46,8
"2021-11-26",61,43,7
"2021-11-27",72,51,7
"2021-11-28",93,61,9
"2021-11-29",72,52,9
"2021-11-30",74,55,9
"2021-12-01",80,55,9
"2021-12-02",76,52,9
"2021-12-03",67,48,8
"2021-12-04",80,55,8
"2021-12-05",99,65,10
"2021-12-06",73,54,11
"2021-12-07",71,53,10
"2021-12-08",67,53,10
"2021-12-09",62,50,9
"2021-12-10",57,46,8
"2021-12-11",67,54,8
"2021-12-12",90,67,10
"2021-12-13",72,57,10
"2021-12-14",66,54,10
"2021-12-15",62,53,10
"2021-12-16",57,50,9
"2021-12-17",56,49,8
"2021-12-18",70,59,8
"2021-12-19",84,70,10
"2021-12-20",56,52,10
"2021-12-21",46,44,9
"2021-12-22",49,46,9
"2021-12-23",50,48,9
"2021-12-24",46,44,7
"2021-12-25",64,58,8
"2021-12-26",80,68,10
"2021-12-27",65,58,10
"2021-12-28",60,54,10
"2021-12-29",57,51,9
"2021-12-30",53,49,9
"2021-12-31",49,47,7
"2022-01-01",63,61,10
"2022-01-02",75,69,12
"2022-01-03",59,58,12
"2022-01-04",58,57,11
"2022-01-05",57,55,11
"2022-01-06",51,51,10
"2022-01-07",48,49,9
"2022-01-08",60,59,10
"2022-01-09",71,68,12
"2022-01-10",53,55,11
"2022-01-11",55,55,11
"2022-01-12",55,55,11
"2022-01-13",53,54,11
"2022-01-14",46,48,9
"2022-01-15",57,60,10
"2022-01-16",70,70,11
"2022-01-17",54,56,11
"2022-01-18",50,53,11
"2022-01-19",50,52,10
"2022-01-20",47,49,10
"2022-01-21",42,45,9
"2022-01-22",52,57,9
"2022-01-23",65,67,11
"2022-01-24",46,52,10
"2022-01-25",44,49,10
"2022-01-26",40,45,9
"2022-01-27",34,41,8
"2022-01-28",33,39,6
"2022-01-29",44,50,7
"2022-01-30",48,53,7
"2022-01-31",45,55,8
"2022-02-01",46,56,9
"2022-02-02",55,63,11
"2022-02-03",47,57,12
"2022-02-04",44,53,11
"2022-02-05",55,63,11
"2022-02-06",61,70,12
"2022-02-07",45,53,12
"2022-02-08",43,51,11
"2022-02-09",42,52,11
"2022-02-10",40,49,10
"2022-02-11",38,47,9
"2022-02-12",48,56,9
"2022-02-13",59,66,11
"2022-02-14",44,53,11
"2022-02-15",43,51,10
"2022-02-16",41,50,10
"2022-02-17",39,47,10
"2022-02-18",38,46,9
"2022-02-19",48,56,9
"2022-02-20",60,67,11
"2022-02-21",45,54,11
"2022-02-22",43,52,10
"2022-02-23",43,52,10
"2022-02-24",40,48,9
"2022-02-25",38,46,8
"2022-02-26",49,57,9
"2022-02-27",59,65,10
"2022-02-28",46,53,9
"2022-03-01",65,72,11
"2022-03-02",48,55,10
"2022-03-03",47,52,10
"2022-03-04",45,49,9
"2022-03-05",57,60,9
"2022-03-06",68,69,11
"2022-03-07",50,54,10
