네이버 데이터랩 쇼핑인사이트 > 분야 통계
조회분야
패션의류
패션잡화
화장품/미용
조회기간 : 2022.06.09. ~ 2022.07.09. 일간
기기별 : 전체
성별 : 여성
연령별 : 30대

"날짜","패션의류","패션잡화","화장품/미용"
"2021-07-09",40,40,13
"2021-07-10",46,45,14
"2021-07-11",56,53,17
"2021-07-12",51,47,17
"2021-07-13",53,46,17
"2021-07-14",51,46,16
"2021-07-15",49,44,16
"2021-07-16",42,41,14
"2021-07-17",47,47,14
"2021-07-18",54,54,17
"2021-07-19",48,47,17
"2021-07-20",48,46,17
"2021-07-21",48,47,17
"2021-07-22",47,46,16
"2021-07-23",40,39,14
"2021-07-24",43,42,14
"2021-07-25",49,47,17
"2021-07-26",44,43,16
"2021-07-27",44,44,16
"2021-07-28",42,41,15
"2021-07-29",40,38,15
"2021-07-30",34,34,13
"2021-07-31",37,37,14
"2021-08-01",43,43,18
"2021-08-02",38,38,17
"2021-08-03",39,39,17
"2021-08-04",38,39,16
"2021-08-05",37,38,16
"2021-08-06",33,34,14
"2021-08-07",36,38,15
"2021-08-08",42,43,17
"2021-08-09",37,37,17
"2021-08-10",36,37,17
"2021-08-11",36,36,17
"2021-08-12",33,35,16
"2021-08-13",29,31,14
"2021-08-14",32,35,14
"2021-08-15",36,38,15
"2021-08-16",39,40,18
"2021-08-17",36,37,17
"2021-08-18",37,37,17
"2021-08-19",36,36,16
"2021-08-20",32,33,15
"2021-08-21",39,38,15
"2021-08-22",44,44,17
"2021-08-23",43,41,17
"2021-08-24",42,40,16
"2021-08-25",43,39,16
"2021-08-26",40,38,16
"2021-08-27",39,36,14
"2021-08-28",42,39,14
"2021-08-29",52,46,16
"2021-08-30",46,41,16
"2021-08-31",48,42,16
"2021-09-01",48,42,17
"2021-09-02",47,41,18
"2021-09-03",43,37,15
"2021-09-04",49,41,15
"2021-09-05",59,49,18
"2021-09-06",54,45,18
"2021-09-07",54,44,17
"2021-09-08",50,42,17
"2021-09-09",48,41,16
"2021-09-10",43,38,14
"2021-09-11",49,43,14
"2021-09-12",61,53,17
"2021-09-13",54,47,17
"2021-09-14",52,44,17
"2021-09-15",45,39,15
"2021-09-16",40,37,13
"2021-09-17",36,34,11
"2021-09-18",41,38,11
"2021-09-19",44,41,12
"2021-09-20",43,40,12
"2021-09-21",44,42,13
"2021-09-22",60,52,16
"2021-09-23",56,50,18
"2021-09-24",52,46,16
"2021-09-25",61,52,16
"2021-09-26",71,59,18
"2021-09-27",64,52,19
"2021-09-28",61,50,17
"2021-09-29",58,49,16
"2021-09-30",53,45,15
"2021-10-01",48,42,15
"2021-10-02",54,47,14
"2021-10-03",61,54,15
"2021-10-04",70,59,18
"2021-10-05",59,51,17
"2021-10-06",58,48,17
"2021-10-07",57,47,16
"2021-10-08",51,42,14
"2021-10-09",54,45,13
"2021-10-10",63,53,15
"2021-10-11",76,58,18
"2021-10-12",71,52,17
"2021-10-13",66,49,16
"2021-10-14",62,48,16
"2021-10-15",56,42,15
"2021-10-16",74,48,14
"2021-10-17",100,59,17
"2021-10-18",95,55,17
"2021-10-19",87,52,17
"2021-10-20",86,51,17
"2021-10-21",81,51,16
"2021-10-22",72,45,15
"2021-10-23",77,48,14
"2021-10-24",94,59,18
"2021-10-25",83,53,19
"2021-10-26",78,50,18
"2021-10-27",72,48,17
"2021-10-28",69,46,17
"2021-10-29",60,42,15
"2021-10-30",67,47,15
"2021-10-31",80,55,18
"2021-11-01",75,52,21
"2021-11-02",75,51,20
"2021-11-03",73,50,19
"2021-11-04",69,50,18
"2021-11-05",60,44,15
"2021-11-06",67,47,15
"2021-11-07",82,58,19
"2021-11-08",83,56,19
"2021-11-09",88,56,18
"2021-11-10",88,56,18
"2021-11-11",83,55,17
"2021-11-12",72,48,15
"2021-11-13",73,47,14
"2021-11-14",84,55,17
"2021-11-15",74,50,17
"2021-11-16",71,48,16
"2021-11-17",69,46,16
"2021-11-18",65,45,15
"2021-11-19",63,45,15
"2021-11-20",68,48,14
"2021-11-21",84,57,17
"2021-11-22",84,57,18
"2021-11-23",88,59,18
"2021-11-24",81,55,17
"2021-11-25",71,50,17
"2021-11-26",64,46,15
"2021-11-27",70,50,15
"2021-11-28",87,59,18
"2021-11-29",77,54,19
"2021-11-30",78,55,19
"2021-12-01",84,59,19
"2021-12-02",77,55,20
"2021-12-03",67,49,17
"2021-12-04",74,53,17
"2021-12-05",88,62,20
"2021-12-06",78,57,21
"2021-12-07",74,54,20
"2021-12-08",70,52,21
"2021-12-09",66,50,18
"2021-12-10",58,45,15
"2021-12-11",64,50,16
"2021-12-12",83,60,19
"2021-12-13",75,57,20
"2021-12-14",70,54,19
"2021-12-15",66,52,18
"2021-12-16",59,48,17
"2021-12-17",56,47,15
"2021-12-18",62,53,15
"2021-12-19",74,63,19
"2021-12-20",59,52,18
"2021-12-21",49,42,16
"2021-12-22",49,42,16
"2021-12-23",48,43,16
"2021-12-24",40,36,13
"2021-12-25",48,45,14
"2021-12-26",65,57,18
"2021-12-27",62,55,19
"2021-12-28",59,51,19
"2021-12-29",55,48,18
"2021-12-30",51,45,17
"2021-12-31",43,39,14
"2022-01-01",50,45,17
"2022-01-02",62,55,21
"2022-01-03",55,49,21
"2022-01-04",54,49,21
"2022-01-05",54,47,21
"2022-01-06",51,45,20
"2022-01-07",46,42,17
"2022-01-08",53,47,17
"2022-01-09",63,54,21
"2022-01-10",54,47,21
"2022-01-11",56,47,21
"2022-01-12",55,47,20
"2022-01-13",52,46,20
"2022-01-14",46,41,18
"2022-01-15",52,47,18
"2022-01-16",63,56,21
"2022-01-17",56,48,21
"2022-01-18",53,45,20
"2022-01-19",52,45,19
"2022-01-20",48,43,18
"2022-01-21",44,39,17
"2022-01-22",51,45,17
"2022-01-23",60,54,20
"2022-01-24",51,45,20
"2022-01-25",47,41,19
"2022-01-26",43,39,18
"2022-01-27",37,35,15
"2022-01-28",33,33,13
"2022-01-29",40,39,14
"2022-01-30",44,43,15
"2022-01-31",43,42,15
"2022-02-01",45,44,18
"2022-02-02",53,50,22
"2022-02-03",48,47,22
"2022-02-04",47,43,20
"2022-02-05",55,50,20
"2022-02-06",63,56,23
"2022-02-07",52,46,22
"2022-02-08",50,43,21
"2022-02-09",48,43,20
"2022-02-10",46,41,19
"2022-02-11",42,38,17
"2022-02-12",48,44,17
"2022-02-13",58,52,20
"2022-02-14",49,45,19
"2022-02-15",47,42,18
"2022-02-16",45,42,18
"2022-02-17",41,39,18
"2022-02-18",39,37,16
"2022-02-19",48,44,17
"2022-02-20",58,52,20
"2022-02-21",48,45,20
"2022-02-22",46,42,18
"2022-02-23",44,42,18
"2022-02-24",42,40,17
"2022-02-25",39,39,16
"2022-02-26",48,46,17
"2022-02-27",57,54,19
"2022-02-28",47,45,17
"2022-03-01",63,59,21
"2022-03-02",50,48,19
"2022-03-03",47,44,19
"2022-03-04",45,42,17
"2022-03-05",54,48,17
"2022-03-06",65,56,20
"2022-03-07",52,46,19
"2022-03-08",50,43,16
"2022-03-09",62,53,20
"2022-03-10",52,44,16
"2022-03-11",49,42,15
"2022-03-12",60,52,15
"2022-03-13",71,59,18
"2022-03-14",57,50,17
"2022-03-15",56,47,16
"2022-03-16",57,49,16
"2022-03-17",53,46,16
"2022-03-18",47,42,15
"2022-03-19",56,49,15
"2022-03-20",65,55,17
"2022-03-21",54,47,17
"2022-03-22",54,46,17
"2022-03-23",53,45,16
"2022-03-24",50,43,15
"2022-03-25",45,40,14
"2022-03-26",53,47,14
"2022-03-27",63,54,16
"2022-03-28",54,47,16
"2022-03-29",54,45,16
"2022-03-30",52,45,16
"2022-03-31",48,41,15
"2022-04-01",44,39,15
"2022-04-02",50,43,14
"2022-04-03",61,52,17
"2022-04-04",56,47,17
"2022-04-05",55,46,17
"2022-04-06",55,46,17
"2022-04-07",50,43,16
"2022-04-08",44,39,14
"2022-04-09",49,43,14
"2022-04-10",61,52,16
"2022-04-11",59,50,18
"2022-04-12",60,51,17
"2022-04-13",56,51,18
"2022-04-14",50,45,16
"2022-04-15",43,41,14
"2022-04-16",50,45,14
"2022-04-17",61,55,17
"2022-04-18",56,50,18
"2022-04-19",56,49,18
"2022-04-20",55,49,18
"2022-04-21",50,46,17
"2022-04-22",44,41,15
"2022-04-23",49,46,14
"2022-04-24",61,56,17
"2022-04-25",57,52,19
