네이버 데이터랩 쇼핑인사이트 > 분야 통계
조회분야
패션의류
패션잡화
화장품/미용
조회기간 : 2022.06.09. ~ 2022.07.09. 일간
기기별 : 전체
성별 : 여성
연령별 : 40대

"날짜","패션의류","패션잡화","화장품/미용"
"2021-07-09",43,37,10
"2021-07-10",53,44,11
"2021-07-11",60,49,14
"2021-07-12",51,39,13
"2021-07-13",54,40,13
"2021-07-14",54,40,12
"2021-07-15",51,38,12
"2021-07-16",46,36,11
"2021-07-17",55,43,12
"2021-07-18",59,47,13
"2021-07-19",48,39,13
"2021-07-20",49,39,13
"2021-07-21",50,39,13
"2021-07-22",49,39,12
"2021-07-23",44,35,11
"2021-07-24",49,39,12
"2021-07-25",53,42,13
"2021-07-26",42,35,12
"2021-07-27",44,38,12
"2021-07-28",43,36,12
"2021-07-29",42,34,11
"2021-07-30",37,31,10
"2021-07-31",42,36,12
"2021-08-01",45,38,14
"2021-08-02",37,32,13
"2021-08-03",38,34,13
"2021-08-04",39,35,13
"2021-08-05",38,33,12
"2021-08-06",36,31,12
"2021-08-07",39,36,13
"2021-08-08",42,38,14
"2021-08-09",34,32,13
"2021-08-10",35,32,13
"2021-08-11",35,32,14
"2021-08-12",33,32,13
"2021-08-13",31,29,11
"2021-08-14",36,34,12
"2021-08-15",38,36,13
"2021-08-16",38,36,15
"2021-08-17",33,32,14
"2021-08-18",34,33,13
"2021-08-19",34,33,13
"2021-08-20",32,31,12
"2021-08-21",42,37,12
"2021-08-22",42,40,14
"2021-08-23",39,36,13
"2021-08-24",39,36,13
"2021-08-25",40,35,12
"2021-08-26",38,34,12
"2021-08-27",39,34,11
"2021-08-28",44,38,12
"2021-08-29",50,43,13
"2021-08-30",40,36,12
"2021-08-31",44,37,13
"2021-09-01",46,38,13
"2021-09-02",46,37,14
"2021-09-03",43,35,12
"2021-09-04",52,40,13
"2021-09-05",59,46,15
"2021-09-06",49,38,14
"2021-09-07",52,39,13
"2021-09-08",48,38,13
"2021-09-09",47,38,13
"2021-09-10",44,35,11
"2021-09-11",52,42,12
"2021-09-12",59,49,14
"2021-09-13",48,40,13
"2021-09-14",49,38,13
"2021-09-15",44,35,12
"2021-09-16",41,34,11
"2021-09-17",39,32,9
"2021-09-18",46,37,9
"2021-09-19",45,38,10
"2021-09-20",40,33,9
"2021-09-21",42,36,10
"2021-09-22",58,47,14
"2021-09-23",54,44,14
"2021-09-24",52,42,13
"2021-09-25",65,50,14
"2021-09-26",72,53,15
"2021-09-27",58,44,14
"2021-09-28",57,45,14
"2021-09-29",56,44,13
"2021-09-30",52,40,12
"2021-10-01",49,40,12
"2021-10-02",59,46,12
"2021-10-03",63,51,13
"2021-10-04",67,53,15
"2021-10-05",54,43,13
"2021-10-06",55,43,13
"2021-10-07",56,43,13
"2021-10-08",52,39,11
"2021-10-09",57,44,11
"2021-10-10",66,50,12
"2021-10-11",74,51,14
"2021-10-12",67,44,13
"2021-10-13",64,43,13
"2021-10-14",63,43,13
"2021-10-15",58,40,12
"2021-10-16",80,47,12
"2021-10-17",100,52,13
"2021-10-18",91,45,14
"2021-10-19",86,44,14
"2021-10-20",86,44,14
"2021-10-21",84,45,13
"2021-10-22",75,40,12
"2021-10-23",84,46,12
"2021-10-24",96,53,14
"2021-10-25",79,44,15
"2021-10-26",77,44,14
"2021-10-27",73,44,14
"2021-10-28",70,42,13
"2021-10-29",64,39,12
"2021-10-30",74,46,13
"2021-10-31",82,51,15
"2021-11-01",71,45,16
"2021-11-02",73,45,15
"2021-11-03",72,44,14
"2021-11-04",70,46,14
"2021-11-05",62,40,12
"2021-11-06",73,47,13
"2021-11-07",86,53,15
"2021-11-08",81,49,15
"2021-11-09",88,49,14
"2021-11-10",90,50,14
"2021-11-11",86,50,14
"2021-11-12",74,42,12
"2021-11-13",75,42,11
"2021-11-14",79,46,12
"2021-11-15",64,39,12
"2021-11-16",63,37,11
"2021-11-17",62,36,11
"2021-11-18",61,37,11
"2021-11-19",66,41,12
"2021-11-20",75,47,12
"2021-11-21",88,54,15
"2021-11-22",84,49,14
"2021-11-23",91,52,14
"2021-11-24",84,49,14
"2021-11-25",74,45,14
"2021-11-26",69,43,13
"2021-11-27",78,48,13
"2021-11-28",91,55,15
"2021-11-29",76,47,15
"2021-11-30",78,50,15
"2021-12-01",86,53,15
