네이버 데이터랩 쇼핑인사이트 > 분야 통계
조회분야
패션의류
패션잡화
화장품/미용
조회기간 : 2022.06.09. ~ 2022.07.09. 일간
기기별 : 전체
성별 : 여성
연령별 : 50대

"날짜","패션의류","패션잡화","화장품/미용"
"2022-02-13",82,56,22
"2022-02-14",62,45,19
"2022-02-15",61,44,19
"2022-02-16",62,44,19
"2022-02-17",58,42,18
"2022-02-18",58,42,17
"2022-02-19",73,53,19
"2022-02-20",82,57,22
"2022-02-21",62,46,19
"2022-02-22",62,44,19
"2022-02-23",62,45,19
"2022-02-24",60,45,18
"2022-02-25",60,44,17
"2022-02-26",76,53,19
"2022-02-27",79,57,19
"2022-02-28",62,45,17
"2022-03-01",84,59,22
"2022-03-02",64,47,18
"2022-03-03",64,44,17
"2022-03-04",64,45,16
"2022-03-05",80,54,18
"2022-03-06",86,58,20
"2022-03-07",66,45,17
"2022-03-08",65,45,16
"2022-03-09",85,57,19
"2022-03-10",65,41,15
"2022-03-11",68,45,15
"2022-03-12",90,57,17
"2022-03-13",98,61,18
"2022-03-14",74,47,17
"2022-03-15",73,45,16
"2022-03-16",75,48,16
"2022-03-17",75,48,16
"2022-03-18",71,46,15
"2022-03-19",88,57,17
"2022-03-20",89,58,18
"2022-03-21",69,45,16
"2022-03-22",68,46,17
"2022-03-23",73,47,16
"2022-03-24",72,47,16
"2022-03-25",67,45,15
"2022-03-26",86,56,16
"2022-03-27",89,58,18
"2022-03-28",70,47,17
"2022-03-29",70,46,18
"2022-03-30",74,49,17
"2022-03-31",69,45,16
"2022-04-01",66,45,16
"2022-04-02",80,54,16
"2022-04-03",87,56,18
"2022-04-04",73,48,17
"2022-04-05",73,50,17
"2022-04-06",75,50,17
"2022-04-07",73,48,17
"2022-04-08",69,46,15
"2022-04-09",83,54,16
"2022-04-10",92,60,17
"2022-04-11",78,50,17
"2022-04-12",84,53,17
"2022-04-13",84,56,18
"2022-04-14",75,50,17
"2022-04-15",70,48,16
"2022-04-16",87,57,17
"2022-04-17",93,60,19
"2022-04-18",77,51,18
"2022-04-19",81,52,19
"2022-04-20",82,53,18
"2022-04-21",80,53,18
"2022-04-22",75,50,17
"2022-04-23",88,58,18
"2022-04-24",98,66,19
"2022-04-25",81,54,18
"2022-04-26",87,58,19
"2022-04-27",83,58,19
"2022-04-28",82,56,18
"2022-04-29",73,51,17
"2022-04-30",82,59,18
"2022-05-01",90,65,22
"2022-05-02",73,53,20
"2022-05-03",73,53,20
"2022-05-04",74,53,19
"2022-05-05",91,64,20
"2022-05-06",76,55,18
"2022-05-07",84,60,18
"2022-05-08",89,65,21
"2022-05-09",75,55,20
"2022-05-10",78,55,19
"2022-05-11",83,58,19
"2022-05-12",83,55,20
"2022-05-13",77,54,18
"2022-05-14",92,63,19
"2022-05-15",100,68,22
"2022-05-16",80,56,20
"2022-05-17",85,56,20
"2022-05-18",85,58,19
"2022-05-19",80,55,19
"2022-05-20",76,54,17
"2022-05-21",88,62,18
"2022-05-22",99,67,20
"2022-05-23",82,57,18
"2022-05-24",85,58,19
"2022-05-25",84,60,18
"2022-05-26",80,55,18
"2022-05-27",75,54,17
"2022-05-28",87,63,17
"2022-05-29",95,67,19
"2022-05-30",77,55,17
"2022-05-31",76,54,17
"2022-06-01",98,72,22
"2022-06-02",78,58,20
"2022-06-03",75,55,18
"2022-06-04",89,63,18
"2022-06-05",99,70,19
"2022-06-06",94,68,21
"2022-06-07",73,56,19
"2022-06-08",75,56,20
"2022-06-09",75,55,19
"2022-06-10",71,52,16
"2022-06-11",82,61,17
"2022-06-12",91,65,19
"2022-06-13",73,56,18
"2022-06-14",77,55,19
"2022-06-15",73,54,18
"2022-06-16",70,52,17
"2022-06-17",69,51,15
"2022-06-18",82,59,16
"2022-06-19",88,63,18
"2022-06-20",75,53,17
"2022-06-21",77,52,17
"2022-06-22",79,54,17
"2022-06-23",76,55,16
"2022-06-24",69,50,15
"2022-06-25",81,58,15
"2022-06-26",90,63,17
"2022-06-27",75,53,16
"2022-06-28",76,52,16
"2022-06-29",79,53,16
"2022-06-30",74,54,15
"2022-07-01",71,50,15
"2022-07-02",88,60,15
"2022-07-03",95,64,17
"2022-07-04",80,54,17
"2022-07-05",80,53,17
"2022-07-06",81,53,16
"2022-07-07",78,51,16
"2022-07-08",72,47,14
"2022-07-09",83,55,15
