네이버 데이터랩 쇼핑인사이트 > 분야 통계
조회분야
패션의류
패션잡화
화장품/미용
조회기간 : 2022.06.09. ~ 2022.07.09. 일간
기기별 : 전체
성별 : 여성
연령별 : 60대이상

"날짜","패션의류","패션잡화","화장품/미용"
"2022-02-13",80,52,25
"2022-02-14",64,44,22
"2022-02-15",66,46,22
"2022-02-16",68,47,23
"2022-02-17",65,44,22
"2022-02-18",63,44,21
"2022-02-19",74,49,23
"2022-02-20",80,54,25
"2022-02-21",67,46,23
"2022-02-22",66,45,22
"2022-02-23",66,46,23
"2022-02-24",68,46,22
"2022-02-25",64,45,21
"2022-02-26",77,49,23
"2022-02-27",76,51,23
"2022-02-28",66,45,21
"2022-03-01",84,56,25
"2022-03-02",67,49,22
"2022-03-03",67,46,20
"2022-03-04",68,47,20
"2022-03-05",76,52,21
"2022-03-06",77,56,23
"2022-03-07",69,46,20
"2022-03-08",67,46,20
"2022-03-09",75,53,21
"2022-03-10",62,41,17
"2022-03-11",69,47,19
"2022-03-12",81,54,20
"2022-03-13",90,58,21
"2022-03-14",76,48,20
"2022-03-15",71,46,19
"2022-03-16",75,49,19
"2022-03-17",76,50,20
"2022-03-18",75,48,19
"2022-03-19",83,55,20
"2022-03-20",80,52,21
"2022-03-21",70,48,19
"2022-03-22",70,47,20
"2022-03-23",76,48,19
"2022-03-24",73,47,19
"2022-03-25",69,46,18
"2022-03-26",81,55,19
"2022-03-27",80,54,20
"2022-03-28",70,49,19
"2022-03-29",71,47,21
"2022-03-30",73,51,20
"2022-03-31",72,48,19
"2022-04-01",71,47,19
"2022-04-02",75,53,19
"2022-04-03",79,52,20
"2022-04-04",74,48,19
"2022-04-05",75,52,20
"2022-04-06",77,52,20
"2022-04-07",76,50,19
"2022-04-08",70,48,18
"2022-04-09",79,53,19
"2022-04-10",83,57,19
"2022-04-11",80,53,19
"2022-04-12",84,53,20
"2022-04-13",88,58,22
"2022-04-14",78,53,20
"2022-04-15",73,48,18
"2022-04-16",80,54,19
"2022-04-17",85,57,21
"2022-04-18",79,53,21
"2022-04-19",81,53,22
"2022-04-20",83,55,21
"2022-04-21",84,56,21
"2022-04-22",78,52,20
"2022-04-23",86,56,21
"2022-04-24",91,62,21
"2022-04-25",84,55,21
"2022-04-26",89,59,22
"2022-04-27",85,59,22
"2022-04-28",84,59,21
"2022-04-29",80,54,20
"2022-04-30",81,58,20
"2022-05-01",88,62,24
"2022-05-02",78,58,24
"2022-05-03",78,58,23
"2022-05-04",81,57,22
"2022-05-05",93,66,24
"2022-05-06",78,57,20
"2022-05-07",83,62,21
"2022-05-08",88,63,23
"2022-05-09",82,60,23
"2022-05-10",81,57,22
"2022-05-11",87,61,22
"2022-05-12",90,60,23
"2022-05-13",85,58,21
"2022-05-14",92,66,22
"2022-05-15",98,69,25
"2022-05-16",86,62,24
"2022-05-17",89,62,24
"2022-05-18",90,66,23
"2022-05-19",87,61,22
"2022-05-20",84,58,21
"2022-05-21",90,63,21
"2022-05-22",98,67,22
"2022-05-23",88,60,22
"2022-05-24",90,63,22
"2022-05-25",88,65,22
"2022-05-26",85,62,22
"2022-05-27",82,61,20
"2022-05-28",88,67,19
"2022-05-29",93,69,22
"2022-05-30",86,61,21
"2022-05-31",84,60,21
"2022-06-01",98,74,24
"2022-06-02",84,62,23
"2022-06-03",83,61,21
"2022-06-04",90,66,21
"2022-06-05",100,72,21
"2022-06-06",98,71,24
"2022-06-07",80,59,21
"2022-06-08",81,61,23
"2022-06-09",81,60,21
"2022-06-10",78,58,19
"2022-06-11",83,64,20
"2022-06-12",89,66,21
"2022-06-13",79,63,21
"2022-06-14",85,63,21
"2022-06-15",80,61,21
"2022-06-16",78,58,21
"2022-06-17",75,56,19
"2022-06-18",82,62,20
"2022-06-19",88,63,20
"2022-06-20",79,56,20
"2022-06-21",82,57,19
"2022-06-22",85,59,19
"2022-06-23",85,61,19
"2022-06-24",79,56,18
"2022-06-25",86,60,18
"2022-06-26",94,62,20
"2022-06-27",84,58,20
"2022-06-28",84,57,19
"2022-06-29",88,59,19
"2022-06-30",86,59,19
"2022-07-01",79,56,18
"2022-07-02",90,62,18
"2022-07-03",98,64,19
"2022-07-04",90,60,20
"2022-07-05",90,58,19
"2022-07-06",91,59,19
"2022-07-07",87,57,19
"2022-07-08",83,55,17
"2022-07-09",90,59,18
