네이버 데이터랩 쇼핑인사이트 > 분야 통계
조회분야
패션의류
패션잡화
화장품/미용
조회기간 : 2022.06.09. ~ 2022.07.09. 일간
기기별 : 전체
성별 : 남성
연령별 : 50대

"날짜","패션의류","패션잡화","화장품/미용"
"2021-07-09",38,49,9
"2021-07-10",44,58,10
"2021-07-11",51,64,11
"2021-07-12",45,52,10
"2021-07-13",46,54,11
"2021-07-14",46,52,10
"2021-07-15",45,50,10
"2021-07-16",41,48,9
"2021-07-17",45,54,10
"2021-07-18",51,63,11
"2021-07-19",40,51,11
"2021-07-20",40,49,10
"2021-07-21",42,49,11
"2021-07-22",41,49,10
"2021-07-23",37,46,9
"2021-07-24",41,51,9
"2021-07-25",45,55,11
"2021-07-26",35,47,10
"2021-07-27",35,47,10
"2021-07-28",36,47,10
"2021-07-29",34,44,10
"2021-07-30",30,42,9
"2021-07-31",34,47,10
"2021-08-01",38,52,12
"2021-08-02",31,46,13
"2021-08-03",32,47,11
"2021-08-04",32,45,11
"2021-08-05",30,45,11
"2021-08-06",28,42,10
"2021-08-07",30,49,11
"2021-08-08",34,54,12
"2021-08-09",27,44,12
"2021-08-10",27,44,11
"2021-08-11",26,44,11
"2021-08-12",26,43,10
"2021-08-13",24,40,9
"2021-08-14",28,47,10
"2021-08-15",30,48,11
"2021-08-16",29,50,14
"2021-08-17",25,43,12
"2021-08-18",26,43,11
"2021-08-19",26,44,11
"2021-08-20",25,41,10
"2021-08-21",32,50,10
"2021-08-22",33,51,11
"2021-08-23",31,50,12
"2021-08-24",30,48,11
"2021-08-25",30,47,10
"2021-08-26",28,46,10
"2021-08-27",30,45,9
"2021-08-28",32,48,9
"2021-08-29",37,54,11
"2021-08-30",31,46,10
"2021-08-31",34,48,11
"2021-09-01",35,49,11
"2021-09-02",34,46,11
"2021-09-03",33,44,10
"2021-09-04",39,49,10
"2021-09-05",43,55,14
"2021-09-06",37,48,14
"2021-09-07",40,48,11
"2021-09-08",36,46,11
"2021-09-09",36,46,11
"2021-09-10",33,43,9
"2021-09-11",39,49,9
"2021-09-12",45,57,11
"2021-09-13",36,47,11
"2021-09-14",35,45,10
